Arbeitslose Personen (inkl. SchulungsteilnehmerInnen) in Wien nach Wirtschaftstätigkeiten und Geschlecht 2017;;;;
Abschnitte (ÖNACE 2008);Insgesamt;Arbeitslose Personen (inkl. SchulungsteilnehmerInnen)
im Jahresdurchschnitt;;
;;Anteil * in %;Geschlecht;
;;;Männer;Frauen
Insgesamt;155127;100;89521;65606
Land- und Forstwirtschaft; Fischerei;336,249999999986;0,216757882251308;203,749999999982;132,499999999984
Bergbau und Gewinnung von Steinen und Erden;33,249999999989;2,14340508099744E-02;26,333333333325;6,916666666662
Herstellung von Waren;5783,91666666665;3,72850417185058;3789,83333333332;1994,08333333332
Energieversorgung;114,916666666654;7,40790878871209E-02;82,999999999986;31,91666666665
Wasserversorgung; Abwasser- und Abfallentsorgung;197,999999999986;0,127637355199279;160,999999999984;36,999999999989
Bau;10271,8333333333;6,6215638369422;9324,66666666666;947,166666666652
Handel; Instandhaltung und Reparatur von Kraftfahrzeugen;20411,4166666667;13,1578749454748;9299,08333333333;11112,3333333333
Verkehr und Lagerei;6975,58333333332;4,49669195777223;5786,24999999999;1189,33333333332
Beherbergung und Gastronomie;15506,9166666667;9,99627187186412;8211,08333333332;7295,83333333333
Information und Kommunikation;3482,91666666666;2,24520339248916;2135,99999999999;1346,91666666665
Erbringung von Finanz- und Versicherungsdienstleistungen;1750,83333333332;1,12864513162333;929,499999999981;821,333333333318
Grundstücks- und Wohnungswesen;1626,83333333332;1,04871062634701;847,166666666652;779,666666666654
Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen;5647,49999999999;3,64056547216152;2765,83333333332;2881,66666666666
Erbringung von sonstigen wirtschaftlichen Dienstleistungen;31267;20,1557433586674;18864,5833333333;12402,4166666667
Öffentliche Verwaltung, Verteidigung, Sozialversicherung;2989,33333333332;1,92702323472595;1468,99999999999;1520,33333333332
Erziehung und Unterricht;7813,41666666666;5,03678706264329;4099,41666666666;3713,99999999999
Gesundheits- und Sozialwesen;12675,4166666667;8,17099322920359;6053,66666666665;6621,74999999999
Kunst, Unterhaltung und Erholung;2642,91666666666;1,70371158255278;1566,33333333333;1076,58333333332
Erbringung sonstige Dienstleistungen;3646,66666666665;2,3507620637714;1281,49999999998;2365,16666666665
Private Haushalte;208,499999999987;0,134406002823485;51,249999999985;157,249999999988
Exterritoriale Organisationen und Körperschaften;74,166666666654;0,047810288774136;30,666666666658;43,499999999988
Sonstiges;21669,4166666669;13,9688233941653;12541,0833333336;9128,33333333356
Quelle: Arbeitsmarktservice Wien, Berechnung MA 23.;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;
* Anteil der Beschäftigten in den einzelnen Abschnitten.;;;;
