Vorgemerkte Arbeitslose und SchulungsteilnehmerInnen in Wien nach Geschlecht seit 2000;;;;;;;;;
Jahre;Arbeitslosigkeit insgesamt 
(inkl. SchulungsteilnehmerInnen);;;Vorgemerkte Arbeitslose;;;SchulungsteilnehmerInnen;;
;insgesamt;Männer;Frauen;insgesamt;Männer;Frauen;insgesamt;Männer;Frauen
2000;69142;40195;28949;59655;35289;24367;9487;4906;4582
2001;73546;43203;30343;63463;38041;25422;10083;5162;4921
2002;85411;50707;34704;74894;44966;29928;10517;5741;4776
2003;92897;55483;37414;79872;48038;31834;13025;7445;5580
2004;96430;57572;38858;82025;49283;32742;14405;8289;6116
2005;99122;58628;40493;81436;48626;32810;17686;10002;7683
2006;97589;57294;40295;78088;46923;31165;19501;10371;9130
2007;91063;53282;37781;72264;43379;28885;18799;9903;8896
2008;84643;49230;35412;66487;39601;26886;18156;9629;8526
2009;95862;56498;39364;73052;44431;28621;22810;12067;10743
2010;100023;57866;42157;74179;44234;29946;25844;13632;12211
2011;100766;57962;42804;79152;46466;32686;21614;11496;10118
2012;108791;62739;46052;83016;49022;33994;25775;13717;12058
2013;120816;69801;51015;90230;53432;36798;30586;16369;14217
2014;135545;78511;57033;104404;61695;42708;31141;16816;14325
2015;149486;87518;61969;124685;74241;50444;24801;13277;11525
2016;155948;90934;65013;128375;75520;52855;27573;15414;12158
2017;155127;89521;65606;124054;72388;51666;31073;17133;13940
Quelle: Arbeitsmarktservice Wien, Berechnung MA 23.;;;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;;;
