Bevölkerung nach Staatsangehörigkeit, Geschlecht und Gemeindebezirken 2019;;;;;;;;;
Gemeindebezirk;Bevölkerungsstand zum Stichtag 1.1.;;;Staatsangehörigkeit;;;;;
;;;;Österreich;;;Fremde;;
;Insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen
Wien;1897491;925003;972488;1324657;633074;691583;572834;291929;280905
1. Innere Stadt;16306;7849;8457;12239;5947;6292;4067;1902;2165
2. Leopoldstadt;104946;51702;53244;68885;33290;35595;36061;18412;17649
3. Landstraße;91745;44500;47245;62594;29731;32863;29151;14769;14382
4. Wieden;33263;16109;17154;22487;10774;11713;10776;5335;5441
5. Margareten;55407;27473;27934;34582;16786;17796;20825;10687;10138
6. Mariahilf;31864;15579;16285;22235;10785;11450;9629;4794;4835
7. Neubau;32288;15558;16730;22653;10780;11873;9635;4778;4857
8. Josefstadt;25466;12682;12784;17546;8410;9136;7920;4272;3648
9. Alsergrund;41958;20153;21805;28331;13474;14857;13627;6679;6948
10. Favoriten;204142;101964;102178;128882;62461;66421;75260;39503;35757
11. Simmering;103008;50663;52345;72911;35324;37587;30097;15339;14758
12. Meidling;97634;47955;49679;63871;30570;33301;33763;17385;16378
13. Hietzing;53778;25176;28602;43061;19948;23113;10717;5228;5489
14. Penzing;92990;45262;47728;68582;32622;35960;24408;12640;11768
15. Rudolfsheim-Fünfhaus;77621;39163;38458;44820;21632;23188;32801;17531;15270
16. Ottakring;103785;51580;52205;65918;31510;34408;37867;20070;17797
17. Hernals;57292;28177;29115;37454;17671;19783;19838;10506;9332
18. Währing;51587;24035;27552;37120;16930;20190;14467;7105;7362
19. Döbling;72947;34001;38946;54373;25105;29268;18574;8896;9678
20. Brigittenau;86502;42876;43626;53699;25937;27762;32803;16939;15864
21. Floridsdorf;165673;80259;85414;125661;60549;65112;40012;19710;20302
22. Donaustadt;191008;91740;99268;151358;72677;78681;39650;19063;20587
23. Liesing;106281;50547;55734;85395;40161;45234;20886;10386;10500
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
