Bevölkerung nach Altersgruppen und Gemeindebezirken 2019 – Männer;;;;;;;;;
Gemeindebezirk;Insgesamt;Bevölkerungsstand zum Stichtag 1.1. nach Altersgruppen;;;;;;;
;;0–5;6–9;10–19;20–29;30–44;45–59;60–74;75+
Wien;925003;60761;37245;90850;145950;215928;197605;118156;58508
1. Innere Stadt;7849;384;202;557;953;1481;1886;1503;883
2. Leopoldstadt;51702;3470;2128;5016;8753;12756;10682;6044;2853
3. Landstraße;44500;2664;1622;3672;7651;11125;9323;5644;2799
4. Wieden;16109;833;502;1285;2775;4026;3492;2130;1066
5. Margareten;27473;1480;868;2077;5305;7555;5502;3375;1311
6. Mariahilf;15579;744;409;1000;2949;4365;3301;2000;811
7. Neubau;15558;807;443;1037;3045;4213;3279;1914;820
8. Josefstadt;12682;599;321;932;2807;3290;2494;1554;685
9. Alsergrund;20153;1075;600;1463;4406;5249;3731;2479;1150
10. Favoriten;101964;7349;4403;10594;16215;23771;21351;12433;5848
11. Simmering;50663;3864;2368;5655;7507;11851;10745;6016;2657
12. Meidling;47955;3108;1879;4848;7911;11625;9975;5935;2674
13. Hietzing;25176;1610;1017;2449;3092;5058;5529;3721;2700
14. Penzing;45262;2888;1793;4330;6359;10094;10079;6398;3321
15. Rudolfsheim-Fünfhaus;39163;2339;1309;3509;7456;10353;7936;4521;1740
16. Ottakring;51580;3346;1835;4896;8574;12564;10958;6565;2842
17. Hernals;28177;1796;1125;2555;4683;6921;5868;3599;1630
18. Währing;24035;1525;952;2199;3879;5676;5032;2936;1836
19. Döbling;34001;2102;1405;3522;4736;7008;7161;4601;3466
20. Brigittenau;42876;2796;1681;4248;7410;10223;9007;5191;2320
21. Floridsdorf;80259;5786;3656;8788;11030;16845;18126;10618;5410
22. Donaustadt;91740;6703;4443;10783;12192;19384;21195;11695;5345
23. Liesing;50547;3493;2284;5435;6262;10495;10953;7284;4341
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
