Bevölkerung nach Geburtsland, Geschlecht und Gemeindebezirken 2019;;;;;;;;;
Gemeindebezirk;Bevölkerungsstand zum Stichtag 1.1.;;;Geburtsland;;;;;
;;;;Österreich;;;Ausland;;
;Insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen
Wien;1897491;925003;972488;1208607;588072;620535;688884;336931;351953
1. Innere Stadt;16306;7849;8457;10697;5317;5380;5609;2532;3077
2. Leopoldstadt;104946;51702;53244;62248;30628;31620;42698;21074;21624
3. Landstraße;91745;44500;47245;56496;27497;28999;35249;17003;18246
4. Wieden;33263;16109;17154;20111;9906;10205;13152;6203;6949
5. Margareten;55407;27473;27934;30907;15225;15682;24500;12248;12252
6. Mariahilf;31864;15579;16285;19822;9761;10061;12042;5818;6224
7. Neubau;32288;15558;16730;20547;9951;10596;11741;5607;6134
8. Josefstadt;25466;12682;12784;16107;7813;8294;9359;4869;4490
9. Alsergrund;41958;20153;21805;26018;12640;13378;15940;7513;8427
10. Favoriten;204142;101964;102178;117103;57616;59487;87039;44348;42691
11. Simmering;103008;50663;52345;66210;32586;33624;36798;18077;18721
12. Meidling;97634;47955;49679;57767;28206;29561;39867;19749;20118
13. Hietzing;53778;25176;28602;39793;18872;20921;13985;6304;7681
14. Penzing;92990;45262;47728;63533;30832;32701;29457;14430;15027
15. Rudolfsheim-Fünfhaus;77621;39163;38458;40476;20076;20400;37145;19087;18058
16. Ottakring;103785;51580;52205;60348;29495;30853;43437;22085;21352
17. Hernals;57292;28177;29115;34788;16778;18010;22504;11399;11105
18. Währing;51587;24035;27552;34506;16093;18413;17081;7942;9139
19. Döbling;72947;34001;38946;49387;23261;26126;23560;10740;12820
20. Brigittenau;86502;42876;43626;47696;23457;24239;38806;19419;19387
21. Floridsdorf;165673;80259;85414;116628;56911;59717;49045;23348;25697
22. Donaustadt;191008;91740;99268;137893;67188;70705;53115;24552;28563
23. Liesing;106281;50547;55734;79526;37963;41563;26755;12584;14171
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung MA 23.;;;;;;;;;
