Bevölkerung nach Staatsangehörigkeit der EU, Geschlecht und Gemeindebezirken 2019;;;;;;;;;
Gemeindebezirk;Bevölkerung zum Stichtag 1.1.;;;;;;;;
;Insgesamt;fremde Staatsangehörigkeit;;;;;;;
;;insgesamt;;EU;;;nicht EU;;
;;;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;absolut;%;;Männer;Frauen;;Männer;Frauen
Wien;1897491;572834;30,2;248631;123282;125349;324203;168647;155556
1. Innere Stadt;16306;4067;24,9;2078;993;1085;1989;909;1080
2. Leopoldstadt;104946;36061;34,4;15895;8033;7862;20166;10379;9787
3. Landstraße;91745;29151;31,8;14766;7312;7454;14385;7457;6928
4. Wieden;33263;10776;32,4;5868;2921;2947;4908;2414;2494
5. Margareten;55407;20825;37,6;9697;4849;4848;11128;5838;5290
6. Mariahilf;31864;9629;30,2;5372;2660;2712;4257;2134;2123
7. Neubau;32288;9635;29,8;5519;2684;2835;4116;2094;2022
8. Josefstadt;25466;7920;31,1;4359;2211;2148;3561;2061;1500
9. Alsergrund;41958;13627;32,5;7667;3660;4007;5960;3019;2941
10. Favoriten;204142;75260;36,9;26033;13272;12761;49227;26231;22996
11. Simmering;103008;30097;29,2;11716;5823;5893;18381;9516;8865
12. Meidling;97634;33763;34,6;13497;6810;6687;20266;10575;9691
13. Hietzing;53778;10717;19,9;6010;2819;3191;4707;2409;2298
14. Penzing;92990;24408;26,2;11193;5587;5606;13215;7053;6162
15. Rudolfsheim-Fünfhaus;77621;32801;42,3;13575;7094;6481;19226;10437;8789
16. Ottakring;103785;37867;36,5;15273;7885;7388;22594;12185;10409
17. Hernals;57292;19838;34,6;9086;4687;4399;10752;5819;4933
18. Währing;51587;14467;28;7740;3734;4006;6727;3371;3356
19. Döbling;72947;18574;25,5;8833;4111;4722;9741;4785;4956
20. Brigittenau;86502;32803;37,9;11491;5711;5780;21312;11228;10084
21. Floridsdorf;165673;40012;24,2;16019;7652;8367;23993;12058;11935
22. Donaustadt;191008;39650;20,8;17164;7997;9167;22486;11066;11420
23. Liesing;106281;20886;19,7;9780;4777;5003;11106;5609;5497
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
