Ehelösungen in Wien seit 1970 – Kennziffern;;;;;;;;
Jahr;Ehescheidungen;;;Gesamtschei-dungsrate *;Mediane Ehedauer der geschiedenen Ehen in Jahren;Ehelösungen
durch den Tod;;
;insgesamt;darunter im Einvernehmen;auf 1.000
EinwohnerInnen;;;Aufhebungen;Nichtig-
erklärungen;durch Tod eines Partners
1970;4510;.;2,77843833283843;.;.;6;2;11607
1971;4321;.;2,66461275856795;.;.;4;4;11384
1972;4156;.;2,5584925824646;.;.;3;1;10664
1973;4151;.;2,55005504334664;.;.;2;–;10537
1974;4125;.;2,54497039813825;.;.;2;1;10559
1975;4333;.;2,69955559819797;.;.;1;2;10604
1976;4515;.;2,83943870302741;.;.;3;1;10359
1977;4512;.;2,85981578527043;.;.;2;–;10075
1978;4989;541;3,18965908560549;.;.;6;–;9875
1979;4854;2452;3,13449664013473;.;.;2;1;9543
1980;4929;3191;3,20408854439213;.;.;2;–;9477
1981;4762;3603;3,10858235066793;.;.;2;2;9205
1982;5358;4310;3,5258536277204;.;.;1;2;8910
1983;5548;4524;3,68574934379976;.;.;5;–;8889
1984;5519;4679;3,6858203771972;.;.;1;4;8529
1985;5692;4739;3,81269052567839;.;6,59469696969697;1;1;8313
1986;5014;4080;3,36912553251535;.;6,96995708154506;–;–;7786
1987;4938;4306;3,32551005633433;.;6,80851063829787;–;3;7695
1988;5024;4451;3,38315131386675;.;6,67375886524823;1;4;7462
1989;5080;4570;3,41121605151742;.;6,27816901408451;–;2;6986
1990;5233;4775;3,4939961754997;.;6,0580985915493;1;6;7092
1991;5383;4900;3,55877532644144;49,46;5,50277008310249;2;25;6876
1992;5181;4691;3,38632098871945;47,81;5,80529595015576;1;70;7014
1993;5137;4639;3,32821283976181;47,62;6,03782894736842;3;133;6783
1994;5223;4676;3,37826693547918;48,21;6,53609625668449;3;215;6691
1995;5701;4943;3,69995392093871;52,95;6,94709897610922;18;164;6579
1996;5295;4660;3,43699268657288;49,74;7,44064748201439;21;206;6358
1997;5129;4462;3,3271858131755;48,77;7,67421602787456;24;176;6175
1998;5175;4494;3,35700644545238;49,86;7,5640625;5;129;6020
1999;5469;4827;3,5389216674669;53,63;7,53780068728522;4;124;5891
2000;5671;4988;3,65579447614676;56,2;7,93614130434783;3;84;5618
2001;5872;5253;3,7579934158317;59,01;8,0519877675841;1;52;5563
2002;5469;4838;3,45517964217505;55,66;8,19186046511628;1;37;5511
2003;5237;4631;3,27130942327009;53,97;7,8402489626556;1;45;5494
2004;5794;5215;3,57599135935812;60,08;7,15094339622642;6;52;5404
2005;6111;5487;3,7224675372932;63,31;5,76809651474531;4;49;5302
2006;6446;5678;3,89105763002839;65,85;5,25284090909091;2;35;5354
2007;6296;5568;3,78035597401396;64,15;5,62216624685139;2;24;5172
2008;5752;4907;3,43414415136504;59,4514515960473;6,65916398713826;2;15;5221
2009;5110;4366;3,03390492656288;53,8060115651746;7,13716814159292;2;5;5267
2010;4590;3940;2,70703829957891;49,3776853739791;7,48333333333333;3;5;5288
2011;4533;3804;2,6530261829776;49,7678170998484;7,77040816326531;15;28;5359
2012;4492;3814;2,60054271566536;49,576;8,29230769230769;8;23;5422
2013;4129;3568;2,35458821080664;46,37249;8,342;4;15;5353
2014;4444;3886;2,49515612517245;50,44101;8,62916666666667;5;11;5322
2015;4169;3559;2,29793840778196;47,77378;8,87853107344633;23;1;5808
2016;4125;3567;2,22593541225808;47,15066;8,91883116883117;5;11;5414
2017;4154;3566;2,21226890570577;47,34686;8,4393063583815;;;5640
Quelle: Statistik Austria und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;
* Bezogen auf jene Eheschließungsjahrgänge, aus denen sie stammen.;;;;;;;;
