Natürliche Bevölkerungsbewegung für Wien seit 1961 – Kennziffern;;;;;;;;;;
Jahr *;Fertilität;;;;;;Mortalität;;Lebenserwartung bei Geburt;
;Geburtenrate;Gesamt-
fertilitätsrate;allgemeine Fertilitätsrate;Reproduktionsrate;;Durchschnittliches Fertilitätsalter;Sterberate;Säuglings-
sterblichkeit;Geschlecht;
;;;;brutto;netto;;;;Männer;Frauen
1961;11,4680901022951;1,82922618974662;57,9663765810495;0,889268930358104;0,854938510689744;26,6582938536371;15,4727321678176;31,25;66,7204291569696;73,3124006560414
1962;12,0329536746671;1,87405780483017;60,1968174204355;0,91106359009731;0,873900184120468;26,6110632121996;16,1229269313506;30,84;66,7614744313713;72,9938471048352
1963;12,3688100517369;1,89430560740104;61,0393281479388;0,920906955469635;0,885094387743617;26,6672371581129;16,1086474501109;29,28;66,7919447307492;73,1264128762771
1964;12,2976560366809;1,86363416060212;60,4721507439299;0,905996188916929;0,870040226030756;26,5835147767552;15,8935123577513;28,52;67,0681164349985;73,4506780231
1965;12,1935118473997;1,81639530885277;60,4640348515627;0,883031263418946;0,848844540014623;26,3389701038308;16,9323483430422;28,89;66,6385970283254;73,0483776943951
1966;12,4699065019231;1,84651519904232;62,708461965678;0,897673893554848;0,864489775065702;26,2342235123072;16,5117825839626;28,1;67,0795977453788;73,3978861431757
1967;12,6305662536547;1,85166149073478;64,5347062470301;0,900175736866691;0,866901404339861;26,0977479786502;17,1199697462616;26,53;67,0055798708017;73,2966320558339
1968;12,4982626781447;1,83121954345984;64,8727156651504;0,890237989042219;0,859625731174556;25,9908124074968;16,9544163644034;24,85;67,3394337480455;73,722519167807
1969;11,7749294740396;1,73851002367774;61,9292985162974;0,845167731491364;0,817512702231888;25,9408835536954;17,4422216031149;24,81;66,8493895466439;73,4249291212571
1970;11,0225761975932;1,64560083878115;58,5285429690183;0,800000407769155;0,772516055439934;25,7995499384979;17,3581548705223;25,77;66,9521387077284;73,5217941123369
1971;10,6054177787206;1,59546064365228;56,5541371531546;0,775625009067709;0,749686523260927;25,8471157696491;17,5848408755667;26,46;66,7173976745105;73,5157265887721
1972;9,99511202331454;1,5201994521158;53,1759496407119;0,739037166803985;0,713194199327109;25,6610813105985;16,5723340519603;25,62;67,4522242467676;73,9527872845765
1973;9,67681692189742;1,4785797072041;51,1488355781845;0,718803941275693;0,696318037775895;25,5350969409673;16,1960132890365;25,01;67,5307735275456;74,4337390790085
1974;9,90348238325218;1,51563475664641;51,9152899778781;0,736818063513081;0,714562717859607;25,6471835047999;16,4938760300189;23,05;67,8681016222626;74,4278948811669
1975;9,16652700583585;1,39836402186365;47,5687035240866;0,679807497259918;0,658555270931453;25,5860202214932;16,8994797140826;21,68;67,7138674689662;74,3152855707776
1976;8,42964260805747;1,27287319362124;43,1304661205105;0,618800774730791;0,601888858065631;25,8684806495408;16,8360162832219;18,58;67,9843364557682;74,7677492990154
1977;8,29486019100933;1,24344582964799;41,6857783553755;0,604494812663095;0,589257969393687;25,8898298102383;16,3887980407219;18,57;68,359630319337;75,1249535390374
1978;8,52813440426771;1,26724432206371;42,0194803558378;0,616064327692616;0,599896336481678;25,9540998407012;16,7583371320688;16,79;68,1642455984593;75,2305738595497
