Natürliche Bevölkerungsbewegung für Wien nach Monaten und Geschlecht 2018;;;;;;;;;
Monat;Lebendgeborene;;;Gestorbene;;;Geburtenbilanz;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Buben;Mädchen;;Männer;Frauen;;Männer;Frauen
2018;20038;10223;9815;16237;7582;8655;3801;2641;1160
Jänner;1764;908;856;1465;700;765;299;208;91
Februar;1531;778;753;1476;676;800;55;102;-47
März;1678;872;806;1576;727;849;102;145;-43
April;1628;865;763;1300;592;708;328;273;55
Mai;1694;859;835;1201;573;628;493;286;207
Juni;1702;867;835;1201;550;651;501;317;184
Juli;1842;956;886;1286;606;680;556;350;206
August;1778;884;894;1420;651;769;358;233;125
September;1700;834;866;1276;587;689;424;247;177
Oktober;1682;858;824;1327;658;669;355;200;155
November;1525;783;742;1312;600;712;213;183;30
Dezember;1514;759;755;1397;662;735;117;97;20
Quelle: Statistik Austria – Statistik der natürlichen Bevölkerungsbewegung und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
