Lebendgeborene in Wien nach der Lebendgeburtenfolge seit 1999;;;;;;;
Jahr;Insgesamt;Lebendgeborene – geboren als … Kind;;;;;
;;1.;2.;3.;4.;5.;6. und weiteres
1999;15157;7598;5073;1727;503;163;93
2000;15547;7675;5224;1757;642;165;84
2001;15167;7381;4932;1930;637;177;110
2002;16428;7786;5563;2072;696;202;109
2003;16486;7843;5391;2157;733;240;122
2004;16856;8218;5390;2131;758;234;125
2005;16740;8174;5304;2167;717;248;130
2006;17112;8350;5468;2155;773;233;133
2007;16885;8151;5492;2064;728;294;156
2008;17375;8565;5619;2076;726;241;148
2009;17154;8542;5397;2051;745;273;146
2010;17989;8837;5949;2120;681;268;134
2011;18170;9043;5929;2096;677;277;148
2012;18265;8927;6126;2125;704;226;157
2013;18691;9225;6213;2114;703;280;156
2014;19260;9435;6375;2282;765;252;151
2015;19931;9776;6573;2314;819;272;177
2016;20804;9961;6908;2569;851;317;198
2017;20576;9837;6818;2512;865;313;231
Quelle: Statistik Austria – Statistik der natürlichen Bevölkerungsbewegung und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;
