Wanderungsströme nach Bundesländern seit 2009;;;;;;;;;;
Jahr;Österreich;Bundesländer;;;;;;;;
;;Burgenland;Kärnten;Niederösterr.;Oberösterr.;Salzburg;Steiermark;Tirol;Vorarlberg;Wien
Zuzüge;;;;;;;;;;
2009;204367;8121;8702;38018;20890;12362;20744;14662;6909;73959
2010;209631;8202;8427;37931;21267;12815;21667;15152;6729;77441
2011;224733;9006;9427;40344;24681;13901;23215;16341;7344;80474
2012;243856;9291;10077;42404;26741;14590;24684;17736;7892;90441
2013;255019;8966;11275;43512;28445;15335;25774;18914;8764;94034
2014;278680;9366;12605;48637;33279;16645;28435;20113;9462;100138
2015;337818;11021;16135;59343;42281;21886;34712;24766;12436;115238
2016;306602;10441;16544;54780;36666;18820;31673;21866;10906;104906
2017;272803;9345;12076;47393;31131;17426;27069;19548;9889;98926
2018;258503;9112;11601;47061;30534;16677;26553;18817;9613;88535
Wegzüge;;;;;;;;;;
2009;187314;6395;9199;32896;21416;13034;18658;13803;6832;65081
2010;188315;6424;8883;32659;21692;12627;18705;13755;7106;66464
2011;194028;6944;9227;33642;22269;12852;19727;13778;6936;68653
2012;200059;7292;9601;35626;23151;13282;20791;14839;7350;68127
2013;200291;7261;9828;34150;22328;13798;20283;14216;7104;71323
2014;206356;7430;9848;35636;23378;13587;20719;14894;7418;73446
2015;224751;7357;11938;39830;27019;15715;22666;16056;8117;76053
2016;241926;8625;14862;41273;28187;16586;25358;16658;7748;82629
2017;228173;7456;11048;40623;24378;15292;22790;16374;8077;82135
2018;223202;7266;10044;37309;23582;14969;22135;16769;8272;82856
Saldo;;;;;;;;;;
2009;17053;1726;-497;5122;-526;-672;2086;859;77;8878
2010;21316;1778;-456;5272;-425;188;2962;1397;-377;10977
2011;30705;2062;200;6702;2412;1049;3488;2563;408;11821
2012;43797;1999;476;6778;3590;1308;3893;2897;542;22314
2013;54728;1705;1447;9362;6117;1537;5491;4698;1660;22711
2014;72324;1936;2757;13001;9901;3058;7716;5219;2044;26692
2015;113067;3664;4197;19513;15262;6171;12046;8710;4319;39185
2016;64676;1816;1682;13507;8479;2234;6315;5208;3158;22277
2017;44630;1889;1028;6770;6753;2134;4279;3174;1812;16791
2018;35301;1846;1557;9752;6952;1708;4418;2048;1341;5679
Quelle: Statistik Austria – Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;;
