Wanderungsströme in Wien nach Herkunft bzw. Ziel und Staatsangehörigkeit seit 2009;;;;;;;;;
Jahr;Wanderungsströme;;;;;;;;
;gegenüber dem Ausland;;;gegenüber den Bundesländern;;;Saldo
insgesamt;innerhalb Wiens;Wanderungs-fälle
;Zuzüge;Wegzüge;Saldo;Zuzüge;Wegzüge;Saldo;;;
2009;42830;35891;6939;31129;29190;1939;8878;144689;283729
2010;46186;37494;8692;31255;28970;2285;10977;143685;287590
2011;48845;38442;10403;31629;30211;1418;11821;147279;296406
2012;56661;37540;19121;33780;30587;3193;22314;152642;311210
2013;61714;39372;22342;32320;31951;369;22711;153276;318633
2014;66374;40705;25669;33764;32741;1023;26692;158010;331594
2015;78063;40121;37942;37175;35932;1243;39185;173257;364548
2016;66141;45002;21139;38765;37627;1138;22277;180193;367728
2017;61894;44698;17196;37032;37437;-405;16791;184953;366014
2018;56524;44932;11592;32011;37924;-5913;5679;186834;358225
Staatsangehörigkeit Österreich;;;;;;;;;
2009;5526;7903;-2377;23338;23688;-350;-2727;89753;150208
2010;5830;8321;-2491;23966;23207;759;-1732;87737;149061
2011;5235;7235;-2000;23673;24075;-402;-2402;88090;148308
2012;5275;7175;-1900;25212;23872;1340;-560;89378;150912
2013;5460;7263;-1803;23418;24300;-882;-2685;85749;146190
2014;5436;6935;-1499;22687;24473;-1786;-3285;85901;145432
2015;5456;6894;-1438;23271;24701;-1430;-2868;88235;148557
2016;5029;6861;-1832;22027;25701;-3674;-5506;84370;143988
2017;5165;6762;-1597;21153;25766;-4613;-6210;84754;143600
2018;4975;6519;-1544;20835;26102;-5267;-6811;87256;145687
Fremde Staatsangehörigkeit;;;;;;;;;
2009;37304;27988;9316;7791;5502;2289;11605;54936;133521
2010;40356;29173;11183;7289;5763;1526;12709;55948;138529
2011;43610;31207;12403;7956;6136;1820;14223;59189;148098
2012;51386;30365;21021;8568;6715;1853;22874;63264;160298
2013;56254;32109;24145;8902;7651;1251;25396;67527;172443
2014;60938;33770;27168;11077;8268;2809;29977;72109;186162
2015;72607;33227;39380;13904;11231;2673;42053;85022;215991
2016;61112;38141;22971;16738;11926;4812;27783;95823;223740
2017;56729;37936;18793;15879;11671;4208;23001;100199;222414
2018;51549;38413;13136;11176;11822;-646;12490;99578;212538
Quelle: Statistik Austria – Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
