Binnenwanderungssaldo nach Gemeindebezirken 2018;;;;;;;;;
Gemeindebezirk;Insgesamt;Binnenwanderungssaldo gegenüber den Bundesländern;;;;;;;
;;Burgenland;Kärnten;Niederösterr.;Oberösterr.;Salzburg;Steiermark;Tirol;Vorarlberg
Wien;-5913;-623;449;-7714;591;276;374;527;207
1. Innere Stadt;49;-2;13;5;5;5;13;7;3
2. Leopoldstadt;8;18;37;-256;58;9;27;73;42
3. Landstraße;142;-33;13;-56;33;21;89;48;27
4. Wieden;55;7;23;-40;25;5;31;6;-2
5. Margareten;-20;13;27;-198;19;31;42;45;1
6. Mariahilf;13;-4;10;-59;28;-4;28;6;8
7. Neubau;207;11;18;-21;72;-5;63;30;39
8. Josefstadt;-511;-35;-42;-351;-25;9;-77;-10;20
9. Alsergrund;135;0;20;-22;12;22;63;14;26
10. Favoriten;-762;-120;89;-989;91;69;31;71;-4
11. Simmering;-661;-99;-5;-642;16;21;1;24;23
12. Meidling;-291;-38;43;-333;19;1;-5;23;-1
13. Hietzing;-235;-6;7;-243;-16;7;15;-3;4
14. Penzing;-343;-15;19;-416;28;8;-13;52;-6
15. Rudolfsheim-Fünfhaus;-181;-51;43;-207;35;5;-15;21;-12
16. Ottakring;-378;-12;35;-474;1;11;19;46;-4
17. Hernals;-194;-6;-13;-218;51;8;-1;-6;-9
18. Währing;-26;5;35;-98;-1;3;16;15;-1
19. Döbling;-198;-17;39;-314;42;7;22;6;17
20. Brigittenau;-196;1;24;-315;61;21;-13;14;11
21. Floridsdorf;-981;-66;-10;-966;11;-9;36;21;2
22. Donaustadt;-926;-114;18;-902;6;19;30;11;6
23. Liesing;-619;-60;6;-599;20;12;-28;13;17
Quelle: Statistik Austria – Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
