Kinder in städtischen elementaren Bildungs- und Betreuungseinrichtungen nach Gemeindebezirken 2017/18;;;;;
Gemeindebezirk;Insgesamt;Kinder – davon in…;;;
;;Kleinkindergruppen;Kindergartengruppen;Hortgruppen;Familiengruppen *
Wien;33592;5744;17338;6370;4140
1. Innere Stadt;203;31;110;42;20
2. Leopoldstadt;1920;307;710;474;429
3. Landstraße;1486;269;770;240;207
4. Wieden;488;108;194;129;57
5. Margareten;628;104;392;40;92
6. Mariahilf;393;45;141;171;36
7. Neubau;170;30;100;21;19
8. Josefstadt;326;45;98;141;42
9. Alsergrund;600;76;220;269;35
10. Favoriten;3640;580;1851;579;630
11. Simmering;1591;306;976;193;116
12. Meidling;1506;224;857;281;144
13. Hietzing;400;32;146;58;164
14. Penzing;1380;298;833;111;138
15. Rudolfsheim-Fünfhaus;1089;181;696;112;100
16. Ottakring;1683;255;845;434;149
17. Hernals;758;119;342;297;–
18. Währing;727;60;346;246;75
19. Döbling;1473;123;654;603;93
20. Brigittenau;1631;273;974;280;104
21. Floridsdorf;4511;805;2440;757;509
22. Donaustadt;4819;951;2423;670;775
23. Liesing;2170;522;1220;222;206
Quelle: MA 10.;;;;;
* Kindergruppen gibt es ausschließlich bei privaten Trägerorganisationen.;;;;;
