Lehrpersonal in Wien nach Schultypen und Geschlecht  2016/17;;;;;
Schultyp;Insgesamt;Lehrpersonal *;;;
;;Geschlecht;;;
;;Männer;Frauen;Männer;Frauen
;;absolut;;%;
Lehrpersonal insgesamt *;26321;6961;19360;26,4465635804111;73,5534364195889
Allgemein bildende Pflichtschulen;13151;1996;11155;15,1775530377918;84,8224469622082
Volksschulen;6665;490;6175;7,35183795948987;92,6481620405101
Neue Mittelschulen / Hauptschulen **;3992;1103;2889;27,6302605210421;72,3697394789579
Sonderschulen;2235;301;1934;13,4675615212528;86,5324384787472
Polytechnische Schulen;259;102;157;39,3822393822394;60,6177606177606
Allgemein bildende höhere Schulen;6918;2233;4685;32,2781150621567;67,7218849378433
Sonstige allgemein bildende (Statut-)Schulen;747;230;517;30,7898259705489;69,2101740294511
Berufsschulen;893;506;387;56,6629339305711;43,3370660694289
Berufsbildende mittlere und höhere Schulen;4253;1846;2407;43,4046555372678;56,5953444627322
Technische und gewerbliche Schulen;1849;1194;655;64,5754461871282;35,4245538128718
Schulen des Ausbildungsbereichs Fremdenverkehr;276;104;172;37,6811594202899;62,3188405797101
Kaufmännische Schulen;1043;307;736;29,4343240651965;70,5656759348035
Wirtschaftsberufliche Schulen;534;115;419;21,5355805243446;78,4644194756554
Sozialberufliche Schulen;32;5;27;15,625;84,375
Land- und forstwirtschaftliche Schulen ***;33;18;15;54,5454545454545;45,4545454545455
Pädagogische mittlere und höhere Schulen;485;102;383;21,0309278350515;78,9690721649485
Sonstige Berufsbildende (Statut-)Schulen;359;150;209;41,7827298050139;58,2172701949861
Quelle: Statistik Austria – Schulstatistik.;;;;;
Anmkerung: Rundungsdifferenzen bei den Schultypensummen möglich.;;;;;
* Ohne Lehrpersonen an Bundessportakademien und Schulen und Akademien des Gesundheitswesens. Inklusive karenzierte Lehrkräfte. 
** Das beim Schultyp Neue Mittelschulen eingesetzte Lehrpersonal wird - je nachdem, bei welchem Schultyp die Neue Mittelschule geführt wird - bei Hauptschulen bzw. AHS ausgewiesen.
*** Lehrpersonen an land- und forstwirtschaftlichen Berufsschulen werden bei land- und forstwirtschaftlichen Schulen ausgewiesen.;;;;;
