Schülerinnen und Schüler in allgemein bildenden Pflichtschulen nach Gemeindebezirken 2016/17;;;;;;
Gemeindebezirk;Insgesamt;Schülerinnen und Schüler in den Schultypen;;;;
;;Volksschulen;Hauptschulen;Neue Mittelschulen;Sonderschulen *;Polytechn. Schulen
Wien;107030;70398;293;30672;3122;2545
1. Innere Stadt;900;705;-;195;0;0
2. Leopoldstadt;6424;4208;41;1931;244;0
3. Landstraße;4913;3152;35;1225;213;288
4. Wieden;2314;1600;24;537;1;152
5. Margareten;1736;1163;4;517;52;0
6. Mariahilf;1682;1042;-;574;66;0
7. Neubau;2347;1454;22;678;0;193
8. Josefstadt;1046;875;-;171;0;0
9. Alsergrund;1249;988;-;261;0;0
10. Favoriten;12980;8202;2;4313;172;291
11. Simmering;6247;3922;7;2271;47;0
12. Meidling;4993;3254;39;1631;69;0
13. Hietzing;2376;1785;-;442;149;0
14. Penzing;4660;3397;21;1069;173;0
15. Rudolfsheim-Fünfhaus;4291;2477;-;1377;185;252
16. Ottakring;4726;3015;6;1602;103;0
17. Hernals;2594;1775;8;590;221;0
18. Währing;4099;2593;1;855;397;253
19. Döbling;3152;2304;1;713;114;20
20. Brigittenau;4926;3013;20;1535;124;234
21. Floridsdorf;10779;6799;22;3348;321;289
22. Donaustadt;11415;8102;16;2730;233;334
23. Liesing;7181;4573;24;2107;238;239
Quelle: Statistik Austria – Schulstatistik.;;;;;;
* Inkl. Schülerinnen und Schüler, die nach dem Lehrplan der Sonderschule in anderen Schulen unterrichtet werden.;;;;;;
