Lehrpersonal an Universitäten und Hochschulen in Wien nach Geschlecht im Studienjahr 2016/17;;;;;;
Universität;Insgesamt;Lehrpersonal *;;;;
;;Geschlecht;;darunter
 Professorinnen und Professoren
Stammlehrpersonal
Lehrpersonal;;
;;Männer;Frauen;insgesamt;Geschlecht;
;;;;;Männer;Frauen
Universitäten insgesamt;22265;12642;9623;2383;1508;875
Öffentliche Universitäten;20015;11662;8353;1143;846;297
Universität Wien;6639;3572;3067;426;300;126
Medizinische Universität;3580;1966;1614;107;82;25
Technische Universität;3708;2806;902;148;133;15
Universität für Bodenkultur;1943;1153;790;76;60;16
Veterinärmedizinische Universität;730;277;453;39;29;10
Wirtschaftsuniversität;1637;929;708;98;75;23
Akademie der bildenden Künste;307;132;175;35;15;20
Universität für angewandte Kunst;529;274;255;37;22;15
Universität für Musik und darstellende Kunst;942;553;389;177;130;47
Pädagogische Hochschulen **;1373;477;896;395;175;220
Private Universitäten ***;877;503;374;845;487;358
Quelle: Statistik Austria – Hochschulstatistik.;;;;;;
* Öffentliche Universitäten: Haupt- und nebenberufliches Personal. Ärztinnen und Ärzte in Facharztausbildung zum wissenschaftlichen und künstlerischen Universitätspersonal. Personen mit mehreren Beschäftigungsverhältnissen sind auf Ebene der Universität und insgesamt nur einmal gezählt. Stichtag: 31.12.2016.
** Pädagogische Hochschulen: Einschließlich anerkannte private Studiengänge privater Rechtsträger. Stammlehrpersonal einschließlich dienstzugeteilte Bundes- und Landeslehrer, ohne mitverwendete Bundes- und Landeslehrer. Ohne karenziertes Lehrpersonal. Einschließlich Lehrpersonen des privaten Studiengangs für das Lehramt für Islamische Religion Wien. Stichtag: 1.10.2016.
*** Private Universitäten: Sigmund Freud Privatuniversität einschließlich ausländischer Standorte. Studienjahr 2015/16.;;;;;;
