L0001;;;;vormals G0027
F&E: Erhebungseinheiten, Beschäftigte (nach Köpfen und Vollzeitäquivalenten), Ausgaben, Finanzierung in Wien und Österreich 2015;;;;
Erhebungseinheiten, Beschäftigte,
Ausgaben, Finanzierung;Wien *;Österreich;Anteil Wiens an
Österreich;
;;;%;
F&E-durchführende Erhebungseinheiten;;;;
Insgesamt;1554;5181;29,994209612044;
Beschäftigte – Köpfe;;;;
Insgesamt;45644;126171;36,1763004176871;
Wissenschaftliches Personal;31261;78051;40,0520172707589;
Höher qualifiziertes nicht wissenschaftliches Personal;10518;36336;28,946499339498;
Hilfspersonal;3865;11784;32,7987101154107;
Beschäftigte – Vollzeitäquivalente;;;;
Insgesamt;22739,2;71395,9;31,8494479374866;
Wissenschaftliches Personal;15541,1;43562,4;35,6754907902228;
Höher qualifiziertes nicht wissenschaftliches Personal;5618,2;22387;25,0958145352213;
Hilfspersonal;1580;5446,5;29,0094556136969;
Ausgaben in Mio. EUR inkl. LKH;;;;
Insgesamt;3481407;10499146;33,1589540711216;
Personalausgaben;1705785;5206931;32,7598925355454;
Laufende Sachausgaben;1591085;4573683;34,7878285399316;
Ausrüstungsinvestitionen;143158;581952;24,5996233366326;
Bauausgaben und Liegenschaftsankäufe;41379;136580;30,2965295065163;
Ausgaben in Mio. EUR ohne LKH;;;;
Insgesamt;3422495;10330240;33,1308372312744;
Grundlagenforschung;851949;1851982;46,0020129785279;
Angewandte Forschung;1237393;3624315;34,1414308634873;
Experimentelle Entwicklung;1333153;4853943;27,4653616657633;
Finanzierung der F&E-Ausgaben in Mio. EUR;;;;
Insgesamt;3481407;10499146;33,1589540711216;
Unternehmenssektor;1306596;5222223;25,0199196778843;
Öffentlicher Sektor insgesamt;1613493;3484951;46,2988719210112;
Bund;1265602;2593341;48,8019894028591;
Länder, inklusive Wien;103472;344973;29,9942314326049;
Gemeinden, ohne Wien;1354;6749;20,0622314416951;
Sonstige;243065;539888;45,021374803663;
Privater gemeinnütziger Sektor;32094;54286;59,1202151567623;
Ausland, internationale Organisationen;424436;1539335;27,5726856077462;
Europäische Union (EU);104788;198351;52,8295798861614;
Quelle: Statistik Austria – Erhebung über Forschung und experimentelle Entwicklung 2015, sowie Sonderauswertung für Wien 2015.;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;
* Regionale Zuordnung nach dem Hauptstandort (Sitz) des Unternehmens.;;;;
