L0009;;;;;;;;;;;;G0043
Finanzierung der F&E-Ausgaben in sämtlichen Erhebungsbereichen * nach Wissenschaftszweigen und Finanzierungsbereichen in Wien 2015;;;;;;;;;;;;
Wissenschaftszweige;F&E durchführende
Erhebungsein-heiten **;Finanzierungsbereiche;;;;;;;;;;
;;insgesamt;Unternehmenssektor;öffentlicher Sektor;;;;;privater gemein-
nütziger Sektor;Ausland einschl.
internationaler Organi-
sationen (ohne EU);EU;
;;;;zusammen;Bund ***;Länder ****;Gemeinden ****;sonstige;;;;
;;1.000 EUR;;;;;;;;;;
Insgesamt;711;1693146;92225;1426589;1123663;96952;1012;204962;31521;53654;89157;
Naturwissenschaften;144;565751;33460;455320;357441;10595;293;86991;2937;30456;43578;
Technische Wissenschaften;88;233462;24958;183533;148881;5271;269;29112;1102;6404;17465;
Humanmedizin, Gesundheitswissenschaften;79;354643;15162;313685;200861;66250;18;46556;10170;8274;7352;
Agrarwissenschaften, Veterinärmedizin;67;112282;3099;103551;94421;967;8;8155;1247;1098;3287;
Sozialwissenschaften;217;251413;13147;204215;180508;4958;424;18325;15124;4470;14457;
Geisteswissenschaften;116;175595;2399;166285;141551;8911;–;15823;941;2952;3018;
Quelle: Statistik Austria – Erhebung über Forschung und experimentelle Entwicklung 2015, Sonderauswertung für Wien.;;;;;;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;;;;;;
* Hochschulsektor, Sektor Staat (einschließlich Landeskrankenanstalten), privaten gemeinnützigen Sektor und kooperativen Bereich. Ohne firmeneigenen Bereich. 
** Anzahl der Erhebungseinheiten ohne Landeskrankenanstalten.
*** Die Mittel der Forschungsförderungsfonds sowie die F&E-Finanzierung durch den Hochschulsektor sind in "sonstige" enthalten.
**** Länder einschließlich Wien. Gemeinden ohne Wien.
;;;;;;;;;;;;
