M0001;;;;;;;;;vormals C0026
Gebäudebestand nach Gemeindebezirken 1951–2011;;;;;;;;;
Gemeindebezirk;Gebäudebestand;;;;;;;;
;1951;1961;1971;1981;1991;2001;2011;;
Wien;67292;74481;96209;134321;153693;168167;164746;;
1. Innere Stadt;763;1147;1448;1622;1582;1723;1539;;
2. Leopoldstadt;1954;2095;2513;4516;5220;5123;4758;;
3. Landstraße;2372;2498;3042;3728;3837;3952;3732;;
4. Wieden;979;1148;1325;1479;1589;1583;1476;;
5. Margareten;1357;1503;1898;2044;2094;2183;2114;;
6. Mariahilf;975;1111;1256;1420;1504;1582;1439;;
7. Neubau;1130;1293;1596;1679;1801;1908;1552;;
8. Josefstadt;857;916;1022;1206;1215;1285;1130;;
9. Alsergrund;1440;1545;1691;2016;2073;2083;1910;;
10. Favoriten;4274;5126;6560;10990;12440;13503;12958;;
11. Simmering;2618;2786;3721;5327;6476;7303;6931;;
12. Meidling;3714;3829;4373;6342;6739;7275;6958;;
13. Hietzing;5034;5452;7419;9282;9950;10513;10116;;
14. Penzing;4702;5235;7165;11065;12507;12888;12388;;
15. Rudolfsheim-Fünfhaus;2161;2304;2731;3076;3037;3875;3117;;
16. Ottakring;3161;3459;4404;6098;6653;6763;6623;;
17. Hernals;2704;2808;3973;5194;5846;6081;6013;;
18. Währing;2716;2969;3477;4443;4636;4707;4585;;
19. Döbling;3442;3750;5012;7567;8366;8650;8515;;
20. Brigittenau;1127;1224;1637;2255;2469;2650;2434;;
21. Floridsdorf;6531;6883;8629;13663;16892;19069;18983;;
22. Donaustadt;8841;9862;13172;17349;22488;28018;29900;;
23. Liesing;4440;5538;8145;11960;14279;15450;15575;;
Quelle: Statistik Austria – Gebäude- bzw. Häuser- und Wohnungszählungen 1951–2001, Registerzählung 2011.;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
