M0002;;;;;;;;;;vormals C0027
Gebäude nach Eigentumsverhältnissen und Gemeindebezirken 2001 und 2011;;;;;;;;;;
Gemeindebezirk;Gebäude im Eigentum von…;;;;;;;;;
;Gebietskörperschaften;;gemeinnützigen
Bauvereinigungen;;sonstigen
juristischen Personen;;Privatpersonen;;;
;2001;2011;2001;2011;2001;2011;2001;2011;;
Wien;26028;25915;15741;17156;14117;10347;112281;111328;;
1. Innere Stadt;233;331;5;10;794;585;691;613;;
2. Leopoldstadt;1027;994;113;175;714;477;3269;3112;;
3. Landstraße;872;873;103;140;766;581;2211;2138;;
4. Wieden;193;238;22;24;375;290;993;924;;
5. Margareten;381;428;72;82;317;276;1413;1328;;
6. Mariahilf;200;234;49;60;287;197;1046;948;;
7. Neubau;128;158;50;66;442;299;1288;1029;;
8. Josefstadt;76;114;20;30;321;220;868;766;;
9. Alsergrund;303;321;48;56;490;373;1242;1160;;
10. Favoriten;3734;3637;1357;1489;790;525;7622;7307;;
11. Simmering;1600;1516;877;985;771;359;4055;4071;;
12. Meidling;1379;1348;1217;1273;585;446;4094;3891;;
13. Hietzing;1699;1569;536;579;522;433;7756;7535;;
14. Penzing;1573;1497;858;913;553;446;9904;9532;;
15. Rudolfsheim-Fünfhaus;668;694;128;152;375;313;2704;1958;;
16. Ottakring;1103;1151;529;585;480;393;4651;4494;;
17. Hernals;470;475;330;361;342;300;4939;4877;;
18. Währing;402;463;91;115;430;322;3784;3685;;
19. Döbling;1214;1242;454;517;734;594;6248;6162;;
20. Brigittenau;966;879;196;228;314;234;1174;1093;;
21. Floridsdorf;3260;3257;1747;1990;1309;775;12753;12961;;
22. Donaustadt;2853;2803;5539;5807;1316;1099;18310;20191;;
23. Liesing;1694;1693;1400;1519;1090;810;11266;11553;;
Quelle: Statistik Austria – Gebäude- und Wohnungszählung 2001 und Registerzählung 2011.;;;;;;;;;;
