M0006;;;;;;;;;;;vormals C0031
Wohnungen nach Ausstattung und Gemeindebezirken 1991, 2001 und 2011;;;;;;;;;;;
Gemeindebezirk;Wohnungsausstattung;;;;;;;;;;
;Kategorie A und B;;;Kategorie C;;;Kategorie D;;;;
;1991;2001;2011;1991;2001;2011;1991;2001;2011;;
Wien;616206;701053;774833;47998;11869;21925;74758;58033;50580;;
1. Innere Stadt;8409;8611;8351;483;96;256;384;201;175;;
2. Leopoldstadt;35629;38222;41565;3540;849;1721;4751;4094;3444;;
3. Landstraße;34992;37566;39962;3236;850;1617;3906;3249;2672;;
4. Wieden;13925;14162;15009;975;260;615;825;763;604;;
5. Margareten;19842;21915;24205;2452;595;1248;3927;3053;2779;;
6. Mariahilf;12774;13533;14341;940;218;593;1144;995;787;;
7. Neubau;12408;13452;15079;1199;255;526;1670;1390;949;;
8. Josefstadt;10189;10774;11249;759;167;394;822;709;489;;
9. Alsergrund;17056;18033;19277;1777;458;965;1644;1386;1081;;
10. Favoriten;57587;68220;78269;5340;1479;2015;8935;6265;5669;;
11. Simmering;26823;34852;40328;1846;473;655;1800;1476;1293;;
12. Meidling;31972;35850;39499;3216;987;963;4291;3195;2793;;
13. Hietzing;23224;24237;24502;924;164;474;914;297;234;;
14. Penzing;31135;36092;39120;2972;592;1310;4679;2965;2715;;
15. Rudolfsheim-Fünfhaus;24803;26191;29397;2454;581;1185;7439;6144;5563;;
16. Ottakring;33961;36134;40571;2610;718;1301;8528;7506;6899;;
17. Hernals;19474;20308;22708;1189;282;845;4290;3410;3042;;
18. Währing;19850;20372;22063;1549;385;759;2824;2227;1837;;
19. Döbling;30605;31772;33220;1508;358;694;1044;809;674;;
20. Brigittenau;27401;32877;35528;2823;755;1091;5379;4573;4066;;
21. Floridsdorf;48925;58489;65629;3520;878;1056;2456;1839;1619;;
22. Donaustadt;41750;60195;71405;1895;341;994;1811;893;726;;
23. Liesing;33472;39196;43556;791;128;648;1295;594;470;;
Quelle: Statistik Austria – Gebäude- bzw. Häuser- und Wohnungszählungen 1991, 2001 und Registerzählung 2011 (nur Wohnungen mit Hauptwohnsitz).;;;;;;;;;;;
