Bewohnte Wohnungen nach Gemeindebezirken 2019;;;;;;;;;;
Gemeindebezirk;Insgesamt;Bewohnte Wohnungen zum Stichtag 1.1. – davon mit … Personen;;;;;;;Bevölkerung;
;;1;2;3;4;5;6 und mehr;;insgesamt;je Wohnung
;;;;;;;Nw *;Np **;abs.;
Wien;929662;418330;262267;117790;80511;31283;19481;140236;1897491;2,04105470590387
1. Innere Stadt;8921;4520;2468;1028;545;226;134;940;16306;1,82782199305011
2. Leopoldstadt;52139;24379;14174;6352;4243;1765;1226;8771;104946;2,01281190663419
3. Landstraße;47309;22835;13105;5824;3558;1266;721;6022;91745;1,93927159737048
4. Wieden;17219;8275;4843;2092;1320;443;246;1695;33263;1,93176142633138
5. Margareten;29355;14551;8170;3338;1978;820;498;3440;55407;1,88748083801737
6. Mariahilf;16999;8583;4790;1992;1036;384;214;1631;31864;1,87446320371787
7. Neubau;17748;8958;5010;2070;1114;374;222;1488;32288;1,81924723912554
8. Josefstadt;13248;6730;3636;1561;934;264;123;2032;25466;1,92225241545894
9. Alsergrund;22972;11770;6397;2566;1507;463;269;2150;41958;1,82648441581055
10. Favoriten;94820;40254;26331;12482;9017;4103;2633;18269;204142;2,15294241721156
11. Simmering;47532;19465;13580;6468;4878;1966;1175;8202;103008;2,16712951274931
12. Meidling;47881;21954;13240;5867;3936;1763;1121;7841;97634;2,03909692780017
13. Hietzing;26973;12585;7546;3335;2279;789;439;3400;53778;1,9937715493271
14. Penzing;46250;20978;13297;5752;4020;1368;835;5987;92990;2,01059459459459
15. Rudolfsheim-Fünfhaus;39227;18873;10436;4694;3008;1333;883;6312;77621;1,97876462640528
16. Ottakring;51754;24190;14253;6322;4209;1662;1118;8048;103785;2,00535224330487
17. Hernals;28479;12989;7980;3631;2389;919;571;4072;57292;2,01172793988553
18. Währing;26603;12856;7090;3332;2223;717;385;2801;51587;1,93914220200729
19. Döbling;37039;17885;10062;4286;3004;1082;720;5554;72947;1,96946461837523
20. Brigittenau;43131;20404;11526;5141;3518;1545;997;6706;86502;2,0055644432079
21. Floridsdorf;78109;32720;23113;10242;7229;2872;1933;13382;165673;2,12104879079235
22. Donaustadt;86235;32389;26030;12791;9663;3391;1971;13694;191008;2,21497071954543
23. Liesing;49719;20187;15190;6624;4903;1768;1047;7799;106281;2,13763350027153
Quelle: Statistik Austria – Gebäude- bzw. Häuser- und Wohnungszählungen 1991 und 2001; Stadt Wien Wahlen und verschiedene Rechtsangelegenheiten / Wien Digital – Lokales Melderegister; Stadt Wien Wirtschaft, Arbeit und Statistik – Wiener Bevölkerungsregister, Bevölkerungsstatistik der Statistik Austria, Bevölkerung insgesamt: Statistik Austria (bei Vergleichen in den Jahrbuchausgaben der vorhergenden Jahren, Wiener Bevölkerungsregister;;;;;;;;;;
* Nw = Anzahl der Wohnungen mit 6 und mehr gemeldeten Personen.
** Np = Gesamtzahl der Personen in Wohnungen mit 6 und mehr gemeldeten Personen.;;;;;;;;;;
