Kleingartenparzellen nach Flächenwidmung und Gemeindebezirken 2017;;;;;;;;
Gemeindebezirk;Insgesamt;Kleingartenparzellen nach Flächenwidmung;;;;;;
;;Kleingarten-
gebiete;für ganzjähriges
Wohnen;Gartensiedlungs-
gebiete;Bauland;Grundflächen für
Badehütten;Erholungs-, Agrar-
und Schutzgebiete;Verkehrs-
flächen *
Wien;35816;2372;24226;5770;559;1645;653;591
1. Innere Stadt;–;–;–;–;–;–;–;–
2. Leopoldstadt;1921;104;1723;82;–;–;6;6
3. Landstraße;140;–;140;–;–;–;–;–
4. Wieden;–;–;–;–;–;–;–;–
5. Margareten;–;–;–;–;–;–;–;–
6. Mariahilf;–;–;–;–;–;–;–;–
7. Neubau;–;–;–;–;–;–;–;–
8. Josefstadt;–;–;–;–;–;–;–;–
9. Alsergrund;–;–;–;–;–;–;–;–
10. Favoriten;3731;13;3298;184;16;153;25;42
11. Simmering;2169;104;1503;446;42;–;22;52
12. Meidling;1495;65;1297;52;;–;–;81
13. Hietzing;1373;417;725;107;52;–;29;43
14. Penzing;3571;103;2979;91;131;85;77;105
15. Rudolfsheim-Fünfhaus;661;661;–;–;–;–;–;–
16. Ottakring;1460;20;1329;75;14;–;20;2
17. Hernals;2262;156;1392;659;34;–;15;6
18. Währing;612;36;395;136;18;–;27;–
19. Döbling;1748;463;987;73;8;101;63;53
20. Brigittenau;177;43;31;–;–;–;21;82
21. Floridsdorf;5495;177;4161;729;174;104;107;43
22. Donaustadt;7511;10;3580;2893;67;706;198;57
23. Liesing;1490;–;686;243;3;496;43;19
Quelle: MA 69 – Koordinierungsstelle für städtische Kleingärten und Berechnung MA 23.;;;;;;;;
* Derzeit noch nicht für den Verkehr genützte Flächen.;;;;;;;;
