Inanspruchnahme von Vorsorgeuntersuchungen (Bevölkerung ab 18 Jahren) in Wien nach Altersgruppen und Geschlecht 2017;;;;;;;;
Altersgruppe;Allgemeines Untersuchungsprogramm;;;;;;Gynäkologisches
Untersuchungsprogramm;
;insgesamt;;Männer;;Frauen;;;
;absolut;Anteil an
Bevölkerung (in %);absolut;Anteil an männlicher
Bevölkerung (in %);absolut;Anteil an weiblicher
Bevölkerung (in %);absolut;Anteil an weiblicher
Bevölkerung (in %)
Insgesamt;224509;14,4;102459;13,7;122050;15,1;85850;10,646860323362
18–24;16181;9,3;7196;8,2;8985;10,5;9693;11,2743387535767
25–29;21460;13,3;9218;11,4;12242;15,3;12418;15,5172629237632
30–34;23499;15,3;10585;13,6;12914;17;10866;14,2898474487112
35–39;21984;15,8;10081;14,3;11903;17,3;9013;13,0896363425119
40–44;21168;16,5;9665;15,2;11503;17,8;7762;12,0309375823426
45–49;23469;17;10750;15,8;12719;18,2;8238;11,8166822061249
50–54;23799;17,2;11363;16,4;12436;18;7645;11,0529587809215
55–59;19933;16,8;9749;16,7;10184;16,9;5763;9,58678510829424
60–64;15223;16,1;7198;16,3;8025;16;4354;8,66036797613128
65–69;12672;14,8;5840;15,1;6832;14,6;3763;8,05626324691173
70–74;10372;13,2;4581;13,4;5791;13,1;3175;7,16963237286605
75+;14749;10,1;6233;11,3;8516;9,4;3160;3,48543507274191
Quelle: Hauptverband der österreichischen Sozialversicherungsträger, Statistik Austria und Berechnungen der MA 23;;;;;;;;
