P0073;;;;;;;;;;vormals E0073
Lebendgeborene,  Totgeborene und gestorbene Säuglinge in Wien nach Geschlecht und Geburtsgewicht 2017;;;;;;;;;;
Geburtsgewicht
in Gramm;Lebendgeborene;;;Totgeborene;;;gestorbene Säuglinge;;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;
;;Buben;Mädchen;;Buben;Mädchen;;Buben;Mädchen;
Wien;20576;10593;9983;97;60;37;84;42;42;
unter 500;29;12;17;–;–;–;24;11;13;
500–799;50;20;30;25;13;12;19;9;10;
800–999;39;22;17;6;5;1;8;4;4;
1.000–1.499;132;81;51;10;8;2;5;3;2;
1.500–1.999;240;115;125;13;7;6;6;4;2;
2.000–2.499;818;366;452;15;8;7;–;–;–;
2.500–2.999;3178;1370;1808;12;7;5;7;2;5;
3.000–3.499;7899;3800;4099;10;7;3;8;6;2;
3.500–3.999;6084;3447;2637;5;4;1;6;2;4;
4.000–4.499;1726;1127;599;–;–;–;–;–;–;
4.500–4.999;226;148;78;1;1;–;1;1;–;
5.000 und mehr;155;85;70;–;–;–;–;–;–;
Quelle: Statistik Austria – Statistik der natürlichen Bevölkerungsbewegung, Berechnung MA 23;;;;;;;;;;
