P0017;;;;;;;;;;vormals E0017
Arbeitsunfälle und Berufskrankheiten in Wien (Betriebsort) nach Wirtschaftstätigkeiten und Geschlecht 2017;;;;;;;;;;
Wirtschaftstätigkeit (ÖNACE 2008);Arbeitsunfälle (inkl. Wegunfälle);;;;Berufskrankheiten;;;;;
;insgesamt;Geschlecht;;davon tödlich;insgesamt;Geschlecht;;davon tödlich;;
;;Männer;Frauen;;;Männer;Frauen;;;
Wien;20160;12538;7622;16;156;135;21;0;;
Land- und Forstwirtschaft, Fischerei;41;35;6;0;0;0;0;0;;
Bergbau und Gewinnung von Steinen und Erden;7;7;0;0;0;0;0;3;;
Herstellung von Waren;1750;1394;356;1;34;31;3;2;;
Energieversorgung;182;157;25;0;7;7;0;0;;
Wasserversorgung, Abwasser- und Abfallentsorgung
und Beseitigung von Umweltverschmutzungen;52;50;2;0;0;0;0;4;;
Bau;2768;2718;50;2;47;47;0;0;;
Handel, Instandhaltung und Reparatur von Kraftfahrzeugen;2309;1353;956;0;10;9;1;0;;
Verkehr und Lagerei;1488;1019;469;4;5;5;0;0;;
Beherbergung und Gastronomie;1757;1012;745;0;4;4;0;1;;
Information und Kommunikation;416;263;153;0;3;3;0;0;;
Erbringung von Finanz- und Versicherungs- Dienstleistungen;418;199;219;2;0;0;0;0;;
Grundstücks- und Wohnungswesen;286;151;135;0;1;1;0;1;;
Erbringung von freiberuflichen, wissenschaftlichen
und technischen Dienstleistungen;608;314;294;3;3;3;0;0;;
Erbringung von sonstigen wirtschaftlichen Dienstleistungen;2656;1784;872;0;11;9;2;0;;
Öffentliche Verwaltung, Verteidigung, Sozialversicherung;1798;675;1123;2;13;10;3;0;;
Erziehung und Unterricht;597;281;316;0;0;0;0;0;;
Gesundheits- und Sozialwesen;2107;624;1483;1;4;0;4;0;;
Kunst, Unterhaltung und Erholung;411;257;154;1;0;0;0;0;;
Erbringung von sonstigen Dienstleistungen;490;237;253;0;10;3;7;0;;
Private Haushalte mit Hauspersonal, Herstellung von Waren und Erbringung von Dienstleistungen durch private Haushalte für den Eigenbedarf ohne ausgeprägtem Schwerpunkt;2;0;2;0;0;0;0;0;;
Exterritoriale Organisationen und Körperschaften;11;3;8;0;0;0;0;1;;
Kein Wert vorhanden/nicht relevant;6;5;1;0;4;3;1;1;;
Quelle: Allgemeine Unfallversicherungsanstalt.;;;;;;;;;;
Anmerkung: Betriebsort ist Wien.;;;;;;;;;;
