Todesursachen in Wien nach ICD-10-Klassifikation, Geschlecht und Altersgruppen 2017;;;;;;;;;
Todesursache nach ICD-10-Klassifikation;Insgesamt;Gestorbene;;;;;;;
;;Männer im Alter von…;;;;Frauen im Alter von…;;;
;;0–24;25–44;45–64;65+;0–24;25–44;45–64;65+
Wien;16424;96;257;1371;5864;75;130;799;7832
Infektiöse und parasitäre Krankheiten;185;3;8;18;56;2;4;12;82
Bösartige, gutartige und andere Neubildungen;4223;8;44;495;1653;7;54;388;1574
Krankheiten des Blutes und des Immunsystems;42;3;0;5;8;2;2;2;20
Endokrine, Ernährungs- und Stoffwechselkrankheiten;837;4;8;52;318;3;1;39;412
Psychische Krankheiten und Verhaltensstörungen;563;0;15;45;137;0;5;22;339
Krankheiten des Nervensystems, des Auges und des Ohres;533;4;8;26;171;6;2;27;289
Krankheiten des Kreislaufsystems;6489;0;30;308;2319;2;15;118;3697
Krankheiten des Atmungsssystems;1046;4;2;63;421;3;1;44;508
Krankheiten des Verdauungssystems;615;0;21;125;176;0;7;60;226
Krankheiten der Haut und der Unterhaut;15;0;0;2;6;0;0;0;7
Krankheiten des Muskel-Skelett-Systems und des Bindegewebes;58;0;1;4;15;1;3;1;33
Krankheiten des Urogenitalsystems;294;1;0;4;84;0;0;5;200
Schwangerschaft, Geburt und Wochenbett;1;0;0;0;0;0;1;0;0
Perinatale Affektionen;48;25;0;0;0;23;0;0;0
Angeborene Anomalien;52;14;3;5;9;12;0;3;6
Symptome und abnorme klinische und Laborbefunde;675;4;20;99;292;3;12;36;209
Verletzungen, Vergiftungen, Folgen äußerer Ursachen;748;26;97;120;199;11;23;42;230
Quelle: Statistik Austria – Todesursachenstatistik, Berechnung MA 23.;;;;;;;;;
