P0022;;;;;;;;;;vormals E0022
Suizide in Wien nach Geschlecht und Altersgruppen seit 2002;;;;;;;;;;
Jahr;Insgesamt;Gestorbene;;;;;;;;
;;Männer im Alter von…;;;;Frauen im Alter von…;;;;
;;0–24;25–44;45–64;65+;0–24;25–44;45–64;65+;
2002;274;12;62;64;51;3;21;27;34;
2003;258;19;38;53;48;5;28;31;36;
2004;255;13;69;56;43;6;16;24;28;
2005;252;13;51;54;49;3;28;22;32;
2006;192;6;53;42;42;1;15;16;17;
2007;230;14;51;58;38;3;18;18;30;
2008;189;4;36;35;43;6;15;24;26;
2009;207;6;48;47;46;4;14;16;26;
2010;215;14;33;59;39;3;15;25;27;
2011;223;9;42;56;53;2;18;27;16;
2012;203;13;37;46;50;1;8;22;26;
2013;234;10;39;45;66;6;13;25;30;
2014;237;15;65;52;40;3;19;23;20;
2015;216;7;39;52;49;3;14;20;32;
2016;196;15;33;40;50;4;11;18;25;
2017;186;4;42;48;56;3;6;11;16;
Quelle: Statistik Austria – Todesursachenstatistik.;;;;;;;;;;
