Museumsbesuche in Wien seit 2008;;;;;;;;;
Einrichtung, Eigentümer/Erhalter;2008;2009;2010;2011;2012;2013;2014;2015;2016
;Besuche in 1.000;;;;;;;;
Bundesmuseen;;;;;;;;;
Albertina;997,738;624,937;655,598;574,74;620,333;631,126;600,121;648989;707082
Kunsthistorisches Museum Wien;1038,203;1037,639;1098,029;1039,507;1260,983;1321,582;1375,451;1303673;1324082
Hauptgebäude;546,134;513,911;559,15;528,04;633,435;706,444;798,524;767413;700901
Kunsthistorisches Museum Wien Neue Burg;77,453;67,807;57,687;65,805;70,152;72,409;72,99;73950;68219
Kaiserliche Schatzkammer Wien;276,871;280,128;269,214;254,288;265,633;249,85;234,657;243674;229978
Kaiserliche Wagenburg Wien;110,624;106,265;97,826;92,508;96,98;81,333;80,944;77155;130620
Theseustempel Wien *;–;–;–;23;89,77;118,146;103,361;102881;156320
Theatermuseum Wien;27,121;25,506;36,76;28,873;45,561;33,483;41,39;33744;38044
Weltmuseum Wien (zuvor Museum für Völkerkunde) **;.;44,022;77,392;46,993;59,452;59,917;43,585;4856;–
Museum moderner Kunst Stiftung Ludwig Wien;234,96;241,306;237,528;148,219;199,602;181,072;186,17;210006;208323
Naturhistorisches Museum Wien;391,454;412,046;547,516;580,125;564,512;754,768;644,1;652177;706480
Hauptgebäude;372,778;392,149;527,744;552,997;540,249;726,207;612,203;617739;669741
Pathologisch-anatomische Sammlung im Narrenturm;18,676;19,897;19,772;27,128;24,263;28,561;31,897;34438;36739
Österreichische Galerie Belvedere;803,371;749,244;808,825;886,901;1138,532;957,802;1075,178;1266620;1329489
Oberes Belvedere;473,993;448,239;514,127;542,957;814,211;605,925;642,943;739468;805199
Unteres Belvedere;329,378;301,005;294,698;328,339;294,447;263,091;318,536;387486;348832
21 er Haus ***;–;–;–;15,605;29,874;32,994;42,617;41461;89186
Winterpalais;.;.;.;.;.;55,792;71,082;98205;86272
Österreichische Nationalbibliothek;207,84;197,788;225,295;241,356;246,538;245,051;268,049;288775;355880
Prunksaal;169,427;158,733;156,154;188,217;187,377;180,564;205,44;211201;271170
Esperantomuseum;5,838;5,886;7,523;9,729;12,209;14,288;13,958;13396;15937
Globenmuseum;10,452;11,898;15,071;16,964;19,738;20,453;19,901;19577;23378
Papyrusmuseum;15,698;14,465;15,509;17,152;18,561;22,114;21,618;18963;22923
Sammlungen;5,479;5,425;31,038;8,583;8,078;7,099;6,413;5800;6533
Palais Mollard ****;0,946;1,381;–;0,711;0,575;0,533;0,719;512;531
Österreichisches Museum für angewandte Kunst / Gegenwartskunst;176,848;183,52;190,629;161,934;139,172;101,108;102,5;150637;172192
Hauptgebäude;170,51;178,218;185,602;159,778;137,147;99,005;100,492;149097;170228
Expositur Geymüllerschlössel;2,752;2,287;1,894;1,302;2,025;2,103;2,008;1540;1964
Gefechtsturm Arenbergpark *****;3,586;3,015;3,133;0,854;–;–;–;–;–
Technisches Museum Wien;296,18;298,122;327,401;295,734;316,939;366,544;373,592;358735;365633
Hauptgebäude;296,18;298,122;327,401;293,667;314,62;364,044;371,144;356363;363144
Mediathek;–;–;–;2,067;2,319;2,5;2,448;2372;2489
Landesmuseen;;;;;;;;;
Wien Museum;209,539;255,581;194;216,57;271,993;402,405;432,856;454,768;505,022
Wien Museum Karlsplatz;88,685;108,443;84,207;103,414;156,097;136,359;166,059;166,075;166,01
Neidhart Fresken;2,428;1,698;3,47;3,296;4,601;4,389;4,514;4,997;4,2
Römermuseum;24,663;27,202;22,089;22,197;21,711;26,152;27,769;25,8;25,697
Otto Wagner Pavillon Karlsplatz ******;5,309;4,447;4,285;4,179;–;5,54;7,1;6,878;8,046
Uhrenmuseum;20,89;21,283;18,856;17,142;19,933;18,318;18,966;18,502;18,364
Beethoven Pasqualatihaus;11,493;11,728;12,435;13,567;11,621;11,672;11,771;13,258;14,195
Johann Strauß Wohnung;10,837;7,913;9,16;9,348;8,813;9,071;7,28;7,764;6,962
Pratermuseum;3,453;4,106;3,082;2,338;4,044;4,605;4,651;4,47;11,881
Schubert Sterbewohnung;1,168;1,594;1,099;1,418;1,21;1,297;1,499;1,578;1,502
Haydnhaus;3,981;27,989;7,034;6,772;6,997;7,361;7,732;7,394;6,739
Schubert Geburtshaus;8,713;8,529;6,902;7,169;8,96;8,044;8,503;9,199;8,815
Hermesvilla;17,052;19,093;10,554;13,968;17,237;21,361;13,286;12,285;12,325
Otto Wagner Hofpavillon Hietzing *******;0,661;0,934;0,116;–;–;–;4,004;3,961;1,816
Beethoven Eroicahaus;0,283;0,261;0,156;0,307;0,15;0,059;0,12;0,085;0,144
Beethoven Wohnung Heiligenstadt;9,923;10,361;10,555;11,455;10,619;12,185;10,88;10,93;9,584
Mozartwohnung;.;.;.;.;.;135,992;138,722;157,122;176,512
Virgilkapelle;.;.;.;.;.;.;.;4,47;32,23
andere Einrichtungen;;;;;;;;;
Schönbrunn;5159,8;4650,391;4824,215;5020,149;5017,2;5094,404;5549,4;5833,3;5899,9
Schloss Schönbrunn;2581,1;2466,946;2586,979;2665;2824;2868;3021;3602;3719
Tiergarten Schönbrunn;2578,7;2183,445;2237,236;2355,149;2193,2;2226,404;2528,4;2231,3;2180,9
Quelle: Statistik Austria – Kulturstatistik.;;;;;;;;;
* Restaurierung von 2008 bis 2010.
** Bis 2008 bei Zahl von "Neue Burg" enthalten.
*** Vormals 20er Haus, nach längeren Um- und Ausbauarbeiten im November 2011 als 21er Haus wieder eröffnet.
**** Besuche 2010 siehe Globen- und Esperantomuseum.
***** Wegen Umbauarbeiten seit 2012 geschlossen.
****** Wegen Sanierung 2012 geschlossen.
******* Wegen Restaurierung vorübergehend geschlossen.;;;;;;;;;
