Theatervorstellungen und -besuche in Wien seit 1995/96;;;;;;;;
Spieljahr;Bundestheater;;;;;;;
;Staatsoper;;Volksoper;;Burgtheater;;Akademietheater *;
;Vorstellungen;Besuche;Vorstellungen;Besuche;Vorstellungen;Besuche;Vorstellungen;Besuche
1995/96;306;613333;301;367431;334;217704;326;141172
1996/97;328;637967;291;355961;460;292489;313;134565
1997/98;346;627702;298;359994;476;269636;310;143701
1998/99;330;629702;289;337584;434;258807;313;140489
1999/00;379;596357;295;303456;369;264241;220;92338
2000/01;370;620436;293;297227;435;255801;290;123761
2001/02;365;612755;292;303107;403;279952;285;120349
2002/03;359;607342;307;285019;423;265946;289;129945
2003/04;347;619448;301;320641;478;281604;295;129345
2004/05;359;623046;310;296787;548;293757;285;122636
2005/06;355;603750;276;280520;566;285422;284;119923
2006/07;356;608195;281;289721;554;298105;280;118566
2007/08;347;605216;291;325491;537;251414;284;121559
2008/09;340;583797;291;319568;566;258406;275;115997
2009/10;337;588657;304;314629;439;283356;274;113959
2010/11;346;585006;301;303341;596;282761;284;117225
2011/12;363;588989;305;305873;594;315160;283;123700
2012/13;361;599724;310;308008;596;314024;288;116629
2013/14;370;603688;316;311781;553;303577;292;119801
2014/15;361;598951;328;315189;478;276096;308;127810
2015/16;394;610516;310;315382;498;270481;294;120469
Spieljahr;Theater verschiedener TrägerInnen;;;;;;;
;Theater in der 
Josefstadt **;;Kammerspiele;;Volkstheater;;Theater der Jugend;
;;;;;;;;
;Vorstellungen;Besuche;Vorstellungen;Besuche;Vorstellungen;Besuche;Vorstellungen;Besuche ***
1995/96;575;265077;350;146030;577;265809;445;165575
1996/97;582;244819;361;147698;568;278471;450;154091
1997/98;582;243238;359;144049;577;276934;345;143341
1998/99;561;236062;361;158360;582;297362;355;128984
1999/00;602;238491;357;145355;577;279767;351;144604
2000/01;361;195848;360;147042;610;274566;321;127563
2001/02;371;198570;351;140791;539;234321;338;133556
2002/03;350;186893;341;145343;576;215083;308;113403
2003/04;354;169140;339;130929;516;244901;357;136563
2004/05;344;180515;333;141885;511;198182;339;138285
2005/06;366;181667;338;139695;677;205847;336;133109
2006/07;336;170945;338;153327;691;208740;342;140537
2007/08;327;154009;347;150779;566;211655;356;143137
2008/09;376;164068;343;137981;549;205092;342;135640
2009/10;352;172425;338;159426;574;226409;381;145707
2010/11;359;164797;328;152248;508;210591;383;145653
2011/12;337;163081;372;166764;518;213086;391;146662
2012/13;358;158212;276;120860;498;189363;374;145353
2013/14;363;163495;292;123350;485;185819;368;141779
2014/15;358;168899;333;131411;438;174066;379;143910
2015/16;336;151934;328;134336;432;145761;336;129538
Spieljahr;Vereinigte Bühnen Wien;;;;;;Insgesamt;
;Raimundtheater;;Theater an der Wien ****;;Ronacher *****;;;
;Vorstellungen;Besuche;Vorstellungen;Besuche;Vorstellungen;Besuche;Vorstellungen;Besuche
1995/96;335;353991;285;277117;.;.;3834;2813239
1996/97;277;304407;246;255486;5;5355;3881;2811309
1997/98;304;366283;258;273602;238;248526;4093;3097006
1998/99;315;366487;139;150167;228;177986;3907;2881990
1999/00;264;286295;261;267515;129;111060;3804;2729479
2000/01;268;302276;235;235934;163;175719;3706;2756173
2001/02;262;259564;244;232451;104;114463;3554;2629879
2002/03;282;227686;225;219657;93;101370;3553;2497687
2003/04;236;193936;253;273132;141;155382;3617;2655021
2004/05;256;300048;215;228186;41;44953;3541;2568280
2005/06;269;306559;107;99209;–;–;3574;2355701
2006/07;271;322678;111;82126;–;–;3560;2392940
2007/08;328;351682;122;79332;146;91997;3651;2486271
2008/09;205;178872;129;88589;231;193959;3647;2381969
2009/10;233;275876;129;89636;296;284946;3657;2655026
2010/11;261;282182;109;75090;257;246722;3732;2565616
2011/12;254;249691;126;83802;249;213721;3792;2570529
2012/13;254;263718;115;76704;186;126127;3616;2418722
2013/14;242;266845;117;81783;220;211136;3618;2513054
2014/15;250;242061;115;72318;259;239820;3607;2490531
2015/16;257;240696;110;75723;218;179296;7053;5141854
Quelle: Statistik Austria – Kulturstatistik.;;;;;;;;
Anmerkung: Vorstellungen und Besuche ohne Gastspiele außer Haus.
* Haupthaus am Ring, Vestibül Landtmannseite und Kasino am Schwarzenbergplatz.
** September und Oktober 1999/00 wegen Umbaus des Schnürbodens kein Spielbetrieb.
*** Bis 1999/00 inklusive Rabenhof.
**** Für die Spieljahre 2003/04, 2004/05 und 2005/06 gilt das jeweilige Kalenderjahr; z.B. steht 2003/04 für 2004.
***** Jänner bis Mai 1999 wegen Schnürbodensanierung kein Spielbetrieb. Wegen Umbaus von Sommer 2005 bis Juni 2008 geschlossen.;;;;;;;;
