Subventionen des Bundes * für Denkmalschutz in Wien seit 2000;;;;
Jahr;Insgesamt **;davon für Subventionen *** in…;;Restaurierungsvorhaben ****
;;Profanbauten;Sakralbauten;
;1.000 EUR;;;
2000;1188,94682528724;325,284841173521;863,661984113718;76
2001;1355,70387273533;273,547524399904;1082,15634833543;82
2002;1511,408;218,243;1293,165;70
2003;1414,959;440,161;974,798;120
2004;2181,769;832,944;1348,825;213
2005;1870,117;745,856;1124,261;97
2006;1514,658;640,965;873,693;70
2007;1735,156;644,55;1090,606;96
2008;1855,724;1188,093;667,631;84
2009;1765,9;654,307;1111,593;75
2010;1990,87;931,832;1059,038;104
2011;1783,13;646,418;1136,72;80
2012;1588,25;718,97;869,29;93
2013;1543,809;745,248;798,561;81
2014;1932,2;988,2;944;92
2015;1993,721;1174,317;819,404;92
2016;1999,8;977,638;1022,145;74
Quelle: Bundesministerium für Unterricht, Kunst und Kultur; ab 2013: Bundeskanzleramt,
 Sektion VI Kultur (Kulturbericht).;;;;
* Subventionen, die vom Bundesministerium für Unterricht, Kunst und Kultur (überwiegend im Wege des Bundesdenkmalamtes) vergeben wurden.
** Ohne Förderungen aus steuerbegünstigten Spenden und sonstigen steuerlichen Begünstigungen, Sponsorgelder, diverse Stipendien und Beträge für die Osthilfe.
*** Einschließlich Fassadenrestaurierungsaktion sowie Kleindenkmale, Grabungen etc. 
**** Ohne Objekte der Fassadenrestaurierungsaktion, ohne geförderte Kleindenkmale.;;;;
