Medienbestand nach Sammlungen der Wienbibliothek im Rathaus 2017;;;;;
Medienbestand;Sammlungen;;;;
;Druckschriften;Handschriften;Musik;Plakate;Dokumentation
Bücher;621716;–;–;–;–
Notendrucke;–;–;75739;–;–
Einblattmaterialien *;–;–;–;211441;–
Mikromaterialien;5661;–;–;–;–
Sonstige nichtelektronische Materialien **;–;–;–;–;250000
Manuskripte;–;248005;19512;–;–
Nachlässe;–;1085;414;–;–
Digitale Bestände;13613;1549;900;160000;13994
Quelle: MA 9.;;;;;
* Einzeln inventarisierte Plakate.
** Überwiegend Tagblattarchiv-Mappen in der Dokumentationssammlung. Schätzung der MA 9.;;;;;
