Wienbibliothek im Rathaus – Neue BibliotheksnutzerInnen * nach Geburtsjahrgangsgruppen, Geschlecht und Nutzergruppen 2017;;;;;;;;
Geburtsjahr;Insgesamt;BibliotheksnutzerInnen nach...;;;;;;
;;Geschlecht;;Nutzergruppen;;;;
;;Männer;Frauen;Magistrats-
interne;Studierende und SchülerInnen;Universitäre ForscherInnen
aus dem...;;Sonstige **
;;;;;;Inland;Ausland;
Insgesamt;1489;711;778;11;715;19;61;683
1920–1929;2;1;1;–;–;–;–;2
1930–1939;11;6;5;–;–;–;–;11
1940–1949;50;37;13;1;–;3;1;45
1950–1959;85;54;31;–;1;2;3;79
1960–1969;102;54;48;–;1;4;9;88
1970–1979;110;60;50;2;4;3;9;92
1980–1989;237;120;117;6;62;5;14;150
1990–1999;892;379;513;2;647;2;25;216
Quelle: MA 9.;;;;;;;;
* BibliotheksnutzerInnen, welche anhand neu ausgestellter Leserkarten im Jahr 2017 erhoben wurden. 
** z. B. AhnenforscherInnen, ChorleiterInnen oder sonstige Interessierte.;;;;;;;;
