Wiener Volkshochschulen 2016/17 – Kurse nach Kurskategorien und Volkshochschulen;;;;;;;;
Volkshochschule;Kurse nach Kurskategorien;;;;;;;
;Insgesamt;Politik, 
Gesellschaft 
und Kultur;Grundbildung 
und Zweiter 
Bildungsweg;Naturwissen-
schaften, Technik 
und Umwelt;berufliche und 
berufsorientierte 
Bildung;Sprachen;Kreativität und 
Gestalten;Gesundheit und 
Bewegung
Insgesamt;14245;315;1916;25;1067;5017;2086;3819
Urania;667;10;1;1;10;423;46;176
Landstraße;488;11;–;1;26;221;48;181
Polycollege;1339;4;266;–;48;435;335;251
Wien-West;637;12;–;–;80;174;88;283
Alsergrund, Währing, Döbling;1104;21;1;1;81;340;239;421
Favoriten;1113;13;297;–;53;379;150;221
Simmering;608;11;4;–;75;158;139;221
Meidling;1254;75;394;–;120;373;136;156
Hietzing;764;35;5;2;47;323;78;274
Penzing;558;11;1;–;39;137;96;274
Rudolfsheim-Fünfhaus;306;2;101;–;19;90;33;61
Ottakring-Hernals;1152;22;302;2;8;360;78;380
Brigittenau;961;13;43;–;320;423;68;94
Floridsdorf;1258;11;460;1;73;381;100;232
Donaustadt;786;38;23;1;31;328;96;269
Liesing;660;10;2;–;27;153;170;298
Künstlerische Volkshochschule;510;13;16;16;10;276;179;–
Jüdisches Institut;80;3;–;–;–;43;7;27
Quelle: Die Wiener Volkshochschulen GmbH.;;;;;;;;
