Katholikinnen und Katholiken nach Wohnbezirk und Geschlecht 2001, 2017 und 2018;;;;;;;;;;;
Gemeindebezirk;15. 5. 2001;;;31. 12. 2017;;;;31. 12. 2018;;;
;römisch-
katholisch insgesamt;Geschlecht;;römisch-
katholisch insgesamt;Geschlecht;;;römisch-
katholisch insgesamt;Geschlecht;;
;;Männer;Frauen;;Männer;Frauen;unbekannt;;Männer;Frauen;unbekannt
Wien;762089;330828;431261;621039;279088;341859;92;610269;275073;335110;86
1. Innere Stadt;8749;3926;4823;6987;3353;3632;2;6935;3348;3585;2
2. Leopoldstadt;38438;16865;21573;29969;13612;16352;5;29370;13384;15982;4
3. Landstraße;39529;16984;22545;31775;14370;17399;6;31553;14322;17225;6
4. Wieden;13638;5829;7809;11321;5128;6192;1;11146;5046;6099;1
5. Margareten;20705;8882;11823;15695;7185;8509;1;15433;7108;8324;1
6. Mariahilf;13210;5742;7468;10500;4626;5873;1;10153;4456;5697;–
7. Neubau;12833;5480;7353;11268;5075;6192;1;11121;5015;6105;1
8. Josefstadt;11736;5284;6452;9651;4466;5182;3;9522;4428;5091;3
9. Alsergrund;18476;7863;10613;15471;7049;8419;3;15120;6919;8200;1
10. Favoriten;70810;30789;40021;51153;22886;28256;11;49935;22389;27535;11
11. Simmering;38808;17390;21418;30726;13832;16891;3;30132;13570;16559;3
12. Meidling;36807;15662;21145;28126;12532;15589;5;27430;12286;15139;5
13. Hietzing;28623;12035;16588;24420;10810;13607;3;23952;10627;13322;3
14. Penzing;40747;17563;23184;34036;15233;18798;5;33181;15025;18152;4
15. Rudolfsheim-Fünfhaus;26099;11240;14859;20346;9414;10928;4;19847;9201;10644;2
16. Ottakring;38021;16297;21724;29363;13296;16062;5;28616;13013;15598;5
17. Hernals;22562;9815;12747;19075;8647;10427;1;18729;8490;10238;1
18. Währing;23768;9981;13787;20309;8937;11372;–;20093;8863;11230;–
19. Döbling;35684;14840;20844;30060;13146;16911;3;29590;12970;16616;4
20. Brigittenau;32314;14081;18233;22315;9945;12367;3;21677;9725;11950;2
21. Floridsdorf;69146;30462;38684;57901;26042;31849;10;57121;25721;31390;10
22. Donaustadt;74596;33472;41124;69981;31423;38549;9;69215;31142;38063;10
23. Liesing;46790;20346;26444;40591;18081;22503;7;40398;18025;22366;7
Quelle: Statistik Austria – Volkszählung 2001 sowie Erzdiözese Wien – Matrikenreferat.;;;;;;;;;;;
