Friedhöfe nach Erhalter und Bestattungen in Wien 2018;;;;;
Erhalter;Friedhöfe;;Grabstellen;Bestattungen*;
;insgesamt;Fläche;;insgesamt;darunter…
;;m²;;;Urnen
Insgesamt;55;5392721;328136;13415;4440
Städtische Friedhöfe **;46;4971685;263416;12759;4310
Konfessionelle Friedhöfe;7;421036;64720;656;130
Römisch-katholische Friedhöfe;3;23699;3749;112;35
Evangelische Friedhöfe ***;2;110381;15609;323;95
Jüdische Friedhöfe ****;1;252456;44519;85;–
Islamischer Friedhof;1;34500;843;136;–
Quelle: Friedhöfe Wien GmbH und konfessionelle Friedhofsverwaltungen.;;;;;
* Die Daten beziehen sich auf den Jahresendstand. 
** Inklusive Urnenhain mit Feuerhalle Simmering und Urnengrabstellen auf 24 städtischen Friedhöfen. Die Zahl der Grabstellen auf den städtischen Friedhöfen beinhaltet nur alle Grabstellen, die 2018 ein aufrechtes Benützungsrecht hatten (Stand 31. 12. 2018).
*** Ohne zwei historische Friedhöfe, auf denen keine Bestattungen mehr stattfinden.
;;;;;
