Friedhöfe und Bestattungen nach Gemeindebezirken 2018;;;;
Gemeindebezirk;Friedhöfe;;Bestattungen *;
;Fläche **;Grabstellen ***;insgesamt;darunter...
;m²;;;Urnen
Insgesamt;5392721;328136;13415;4440
Städtische Friedhöfe;4971685;263416;12759;4310
10. Oberlaa ****;34514;4136;208;67
11. Feuerhalle Simmering ****;201695;11524;513;513
11. Kaiser-Ebersdorf;12060;694;41;17
11. Simmering;56955;5250;255;69
11. Zentralfriedhof ****;2354272;67574;3494;909
12. Altmannsdorf;3807;362;19;4
12. Hetzendorf;7622;243;11;3
12. Meidling ****;129931;5252;260;81
12. Südwest ****;239484;16616;717;235
13. Hietzing;104363;6526;341;114
13. Lainz;7248;297;12;7
13. Ober St. Veit ****;35936;3055;127;36
14. Baumgarten ****;237594;18434;824;295
14. Hadersdorf-Weidlingau;13229;948;34;10
14. Hütteldorf ****;47714;3107;137;40
16. Ottakring ****;179472;13341;647;255
17. Dornbach ****;44047;2958;105;31
17. Hernals ****;169531;11100;517;157
18. Gersthof;31714;1560;86;23
18. Neustift am Walde ****;152699;9187;378;113
18. Pötzleinsdorf ****;5544;329;15;6
19. Döbling;49981;3775;186;51
19. Grinzing ****;42162;3298;150;46
19. Heiligenstadt;20315;1441;77;25
19. Sievering ****;37242;3291;144;44
21. Groß Jedlersdorf ****;58263;5260;260;78
21. Jedlesee ****;56067;6370;299;89
21. Leopoldau;4949;512;30;7
21. Stammersdorf, Ort;195618;17811;805;304
21. Stammersdorf, Zentral ****;7852;625;26;4
21. Strebersdorf;26362;1171;53;10
22. Aspern ****;73432;6753;373;138
22. Breitenlee;11987;1009;58;10
22. Eßling ****;18190;1505;85;22
22. Hirschstetten;5959;455;33;13
22. Kagran ****;55781;6058;338;112
22. Stadlau;14788;1525;84;16
22. Süßenbrunn;5122;283;16;–
23. Atzgersdorf ****;25053;2336;92;28
23. Erlaa ****;4651;449;27;7
23. Inzersdorf ****;78864;8637;443;172
23. Kalksburg;7658;537;36;13
23. Liesing ****;32543;2126;106;41
23. Mauer ****;48337;4260;210;76
23. Rodaun;12145;1039;50;10
23. Siebenhirten;8933;397;37;9
Konfessionelle Friedhöfe;421036;64720;656;130
Römisch-katholische Friedhöfe;23699;3749;112;35
14. Penzing - St. Jakob;14316;2308;68;16
19. Nußdorf - St Thomas;6571;1053;38;15
19. Kahlenbergerdorf - St. Georg;2812;388;6;4
Evangelische Friedhöfe;110381;15609;323;95
10. Matzleinsdorf;49500;6675;192;59
11. Simmering;60881;8934;131;36
Jüdische Friedhöfe *****;252456;44519;85;–
11. Zentralfriedhof IV. Tor;252456;44519;85;–
Islamischer Friedhof;34500;843;136;–
23. Islamischer Friedhof Wien;34500;843;136;–
Quelle: Friedhöfe Wien GmbH, Pfarre Penzing St. Jakob - Friedhofsverwaltung, Pfarre Nußdorf St. Thomas - 
Friedhofsverwaltung, Pfarre Kahlenbergerdorf - Friedhofsverwaltung, Evangelischer Friedhof Matzleinsdorf, 
Evangelischer Friedhof Simmering - Verwaltung, Israelitische Kultusgemeinde - Friedhofsamt, Islamischer Friedhof Wien - Friedhofsverwaltung.;;;;
* In der Zahl der Bestattungen sind alle Bestattungsformen enthalten (Sarg- und Urnenbestattungen sowie die naturnahen Urnenbestattungen auf dem Zentralfriedhof, dem Friedhof Stammersdorf Zentral und der Feuerhalle Simmering), unabhängig davon, ob sie von der Bestattung Wien oder von einem der im Jahr 2018 bestehenden 20 privaten Bestattungsunternehmen durchgeführt wurden. 
** Flächen inklusive der Flächen von Gärtnereien, Steinmetzbetrieben und Urnenhainen auf manchen städtischen Friedhöfen (siehe ****). 
*** Die Zahl der Grabstellen auf den städtischen Friedhöfen beinhaltet nur alle Gräber, die 2018 ein aufrechtes Benützungsrecht hatten (Stand  31. 12. 2018), während auf den konfessionellen Friedhöfen alle bestehenden Gräber gezählt werden.  
**** Friedhof mit Urnenhain. Die Feuerhalle Simmering ist nur Urnenfriedhof.
***** Ohne die historischen Friedhöfe, auf denen keine Bestattungen mehr stattfinden.;;;;
