Soziale Dienste in Wien – BezieherInnen * seit 2006;;;;;;;;;;;;;
Ausgewählte Leistung;Berichtsjahr;;;;;;;;;;;;
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Mobile persönliche Betreuungs- und Pflegedienste **;;;;;;;;;;;;;
Insgesamt;.;.;25430;26930;27780;27780;28270;28930;29410;30200;30600;30880;30800
Heimhilfe;18930;19480;20380;21590;22010;22040;21940;22030;22380;22740;22790;22530;23100
Hauskrankenpflege;6360;6950;7390;7900;8270;8900;9270;9190;9220;9390;9390;9300;8920
Medizinische Hauskrankenpflege;5360;5850;6120;6220;6330;6240;6450;6700;6920;7040;7330;7590;6470
24-Stunden-Betreuung zu Hause ***;.;.;650;1100;1490;1560;2100;2480;2880;3190;3410;3670;3290
Mobile persönliche Beratungs- und Unterstützungsdienste;;;;;;;;;;;;;
Insgesamt ****;.;.;18080;25100;15960;13540;10620;8400;8280;8030;7500;7220;6910
Besuchsdienst;3800;4350;4750;5190;5620;5730;5810;6180;6460;6630;6340;5870;5700
Essen auf Rädern;7410;7650;7440;7600;6770;4830;3400;2290;1630;1240;920;670;490
Reinigungsdienst *****;3770;3680;3720;3760;3760;3520;1970;-;-;-;–;–;–
Wäscheservice;560;530;520;510;460;410;350;300;250;210;170;130;110
Teilstationäre Einrichtungen;;;;;;;;;;;;;
Insgesamt;1560;1650;1750;1860;2010;2040;2110;2130;2200;2190;2130;2190;2200
Tageszentren;1560;1650;1750;1860;2010;2040;2110;2130;2200;2190;2130;2190;2200
Quelle: Fonds Soziales Wien.;;;;;;;;;;;;;
* Die Summe der BezieherInnen der einzelnen Leistungen ist größer als die hier angegebene Gesamtzahl, da Personen mehrere Leistungen gleichzeitig in Anspruch nehmen können.
** Inklusive der BezieherInnen von Pflegenotruf und Akut-Interventionsdienst.
*** Die 24-Stunden-Betreuung wurde im Juli 2007 bundesgesetzlich eingeführt.
**** Inklusive "Sonder-Reinigungsdienst". Erst ab 2009 inklusive der BezieherInnen von "Mobile Soziale Arbeit" und "SeniorInnen-Beratung"; ab 2010 sind nur die KundInnen der Sozialarbeit und SeniorInnenberatung durch die "FSW - Wiener Pflege- und Betreuungsdienste" ausgewiesen (nicht mehr hingegen jene durch das Casemanagement des „Beratungszentrums Pflege und Betreuung“).  Mit 1. April 2012 sind die bisher in der „Mobilen sozialen Arbeit" berücksichtigten Leistungen „MigrantInnenberatung“ und „Beratung am Eck“ ausgelaufen.
***** Die soziale Ergänzungsleistung „Reinigungsdienst" wurde mit 1. Juli 2012 eingestellt.;;;;;;;;;;;;;
