24-h-Frauennotruf der Stadt Wien – Beratungskontakte seit 2007;;;;;;;
Jahr;Insgesamt;Beratungskontakte;;;;;
;;telefonisch;persönlich;online;Grund für Erstkontakt *;;
;;;;;darunter…;;
;;;;;sexualisierte Gewalt;körperliche Gewalt;psychische Gewalt
2007;7001;6067;934;.;.;.;.
2008;7282;6662;620;.;.;.;.
2009;7638;7007;631;.;.;.;.
2010;7773;7154;619;.;.;.;.
2011;8409;7633;776;.;.;.;.
2012;7711;7001;710;.;.;.;.
2013;8107;7156;951;.;.;.;.
2014;8568;6699;1086;783;2783;3231;2229
2015;8775;6689;1151;935;3064;3611;2759
2016;10209;7696;1247;1266;4065;4086;3366
2017;9556;6749;1147;1660;4190;3834;3597
2018;9170;6148;1123;1899;4421;3729;3491
Quelle: MA 57 – 24-h-Frauennotruf der Stadt Wien.;;;;;;;
* Änderung der Kategorien im Jahr 2014.;;;;;;;
