Frauen und Kinder in Frauenhäusern in Wien seit 2008;;;;;;;;;;;
Betreuung 
BewohnerInnen 
Aufenthaltsdauer;Berichtsjahr;;;;;;;;;;
;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Frauenhäuser;4;4;4;4;4;4;4;4;4;4;4
Plätze;166;166;166;166;175;175;175;175;175;175;175
Betreute Personen;1071;1154;1215;1281;1353;1182;1374;1363;1260;1264;1256
Frauen;557;583;632;651;690;592;681;672;625;624;647
Kinder;514;571;583;630;663;590;693;691;635;640;609
Aufenthaltsdauer der Frauen in den Frauenhäusern *;;;;;;;;;;;
Bis zu einer Woche;137;159;193;178;209;170;189;179;161;154;164
Bis zu einem Monat;98;96;109;121;147;102;131;123;132;105;118
Bis zu sechs Monaten;184;196;207;222;223;182;227;242;203;234;227
Länger als sechs Monate;56;48;42;41;34;59;43;38;35;49;44
Ø Aufenthaltsdauer der Frauen (in Tagen);56;54;50;48;47;55;51;51;52;55;51
Übergangswohnbereich nach dem Frauenhausaufenthalt;;;;;;;;;;;
Anzahl der Wohnplätze;40;44;52;54;54;54;54;54;54;54;54
Anzahl der betreuten Frauen;71;87;98;112;104;103;102;106;99;107;96
Anzahl der betreuten Kinder;77;83;109;132;115;100;96;117;113;117;99
Aufenthaltstage Frauen und Kinder gesamt;26464;29507;38712;43819;40640;38779;38703;40937;42824;41523;39701
Quelle: Verein Wiener Frauenhäuser.;;;;;;;;;;;
* Nicht berücksichtigt sind jene Frauen, die zum Jahreswechsel noch in Frauenhäusern wohnhaft sind.
;;;;;;;;;;;
