Angezeigte strafbare Handlungen in Wien seit 2003;;;;;;;;;;;;;;;;
Deliktgruppe
Strafbare Handlung;Berichtsjahr;;;;;;;;;;;;;;;
;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Strafbare Handlungen insgesamt;257090;243020;223501;218615;214691;213201;228593;207564;200820;203055;212503;202426;195098;205219;190056;169190
Delikte gegen Leib und Leben;19008;19470;20121;20354;20434;23102;22727;22821;25080;25478;24369;22947;24689;24646;23941;21750
Mord § 75 Strafgesetzbuch (StGB);55;58;50;56;50;34;68;67;59;69;59;38;54;57;68;88
Totschlag § 76;–;–;–;–;–;–;–;–;–;0;–;–;1;–;–;–
Fahrlässige Tötung im Straßenverkehr § 80;17;26;16;19;26;15;21;34;23;26;29;16;14;26;21;15
Fahrlässige Tötung – sonstige Fälle § 80;8;8;8;5;6;7;10;11;10;29;13;15;13;15;14;18
Körperverletzung § 83;9176;9256;10154;10516;11034;12159;11912;12034;13160;14076;13497;13030;13870;14436;13925;12628
Schwere Körperverletzung § 84;1045;1111;1179;1122;1194;1225;1244;1082;1203;1287;1141;1187;1222;1243;1185;1142
Fahrlässige Körperverletzung im Straßenverkehr § 88;6250;6634;6029;5444;5142;6404;6135;6510;7238;6644;6100;5560;6342;5900;5767;5051
Fahrlässige Körperverletzung – sonstige Fälle § 88;1496;1263;1559;1954;1574;1767;1649;1767;1999;2004;2295;1986;2020;1696;1759;1740
Gefährdung der körperlichen Sicherheit im Straßenverkehr § 89;118;127;100;77;97;95;84;129;95;94;88;98;81;110;124;85
Gefährdung der körperlichen Sicherheit – sonstige Fälle § 89;76;59;117;112;142;120;423;172;202;169;173;122;138;199;198;186
Raufhandel § 91;508;632;674;766;886;975;872;692;674;709;630;574;610;583;478;432
Sonstige Delikte gegen Leib und Leben;259;296;235;283;283;301;309;323;417;371;344;321;324;381;402;365
Delikte gegen die Freiheit;3418;3438;3628;4354;4850;5019;5664;6257;6955;7434;7402;7361;7536;8150;8086;6969
Freiheitsentziehung – Verbrechen und Vergehen § 99;126;154;139;123;174;143;176;166;215;171;153;149;166;142;136;121
Erpresserische Entführung § 102;1;2;2;1;3;4;1;3;1;5;2;–;2;1;0;2
Nötigung § 105;466;483;553;584;574;586;618;688;809;859;838;894;865;979;1012;921
Schwere Nötigung § 106;424;482;528;598;664;626;686;819;834;859;907;871;908;885;916;786
Gefährliche Drohung § 107;2298;2199;2279;2670;2688;2878;3283;3522;3948;4299;4295;4245;4401;4773;4596;4004
Sonstige Delikte gegen die Freiheit;103;118;127;378;747;782;900;1059;1148;1241;1207;1202;1194;1370;1426;1135
