Bundesindex der Tariflöhne seit 2007;;;;;;;;;;;
Gruppen- und Teilindex;Berichtsjahr;;;;;;;;;;
;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
;Ø 2006 = 100;;;;;;;;;;
Tariflohnindex  insgesamt;102,5;105,6;109,2;110,9;113,1;116,8;119,8;122,6;125,3;127,3;129,2
ArbeiterInnen;102,5;105,8;109,4;111,3;113,9;118;121,9;125;127,8;129,9;132,1
Angestellte;102,5;105,7;109,2;110,9;113,3;117,1;120,6;123,6;126,3;128,2;130
Öffentlich Bedienstete;102,4;105,2;108,9;110,1;111,3;114,2;115;117,1;119,5;121,6;123,3
Insgesamt;;;;;;;;;;;
Gewerbe und Handwerk;102,475;105,708333333333;109,458333333333;111,3;113,8;118,1;121,8;125,1;127,6;129,7;131,6
Industrie;102,666666666667;106,175;109,475;111,4;114,2;118,6;122,5;125,7;128,2;130,2;132,5
Handel;102,3;105,7;109,6;111,3;113,8;117,8;121,4;124,8;127,7;129,7;131,5
Bank und Versicherung;102,5;105,8;109,1;110,9;113,2;116,9;120,2;123;125,4;127,1;128,6
Transport und Verkehr;102,4;105,6;109,4;110,8;113;116,8;119,9;122,5;124,5;126,5;128,9
Tourismus und Freizeitwirtschaft;102,7;105,9;109;110,9;113,1;115,8;121,3;123,8;128,1;130,7;133,4
Information und Consulting;102,4;105,4;108;110;112,3;115,9;119,3;122,1;124,6;126,2;127,8
ArbeiterInnen;;;;;;;;;;;
Gewerbe und Handwerk;102,5;105,8;109,5;111,4;114;118,2;122;125,2;127,8;129,2;131,9
Industrie;102,7;106,2;109,5;111,4;114,3;118,7;122,7;125,9;128,5;130;132,9
Handel;102,3;105,8;109,7;111,5;114;118,1;121,7;124,9;127,5;129,8;131,2
Bank und Versicherung;102,7;104,9;107,7;110,9;113,5;116,3;121,5;122,4;125,3;127,1;129,5
Transport und Verkehr;102,2;105,2;109,8;110,3;113,8;117,9;121,3;124,6;127;123,5;132
Tourismus und Freizeitwirtschaft;102,5;105,7;108,6;111,5;112,8;115,6;121,5;123,8;127,9;131,4;133,2
Information und Consulting;102,6;105,9;108,3;110,1;111,8;115,7;119,2;122,1;124,5;126,4;127,1
Angestellte;;;;;;;;;;;
Gewerbe und Handwerk;102,4;105,6;109,4;111,1;113,6;117,9;121,6;124,7;127,3;129,9;131
Industrie;102,7;106,2;109,5;111,3;114,1;118,4;122,3;125,4;128;130,5;132,1
Handel;102,4;105,7;109,5;111,3;113,7;117,8;121,3;124,8;127,8;129,5;131,5
Bank und Versicherung;102,5;105,8;109,1;110,9;113,2;116,9;120,2;123;125,4;127,6;128,6
Transport und Verkehr;102,7;106,1;109;110,3;112,4;116;118,7;120,6;121,8;128,9;125,4
Tourismus und Freizeitwirtschaft;103,5;106,6;109,9;111,5;113,8;116,4;120,9;123,9;128,6;130,4;133,6
Information und Consulting;102,4;105,3;108;110,1;112,4;116;119,3;122,1;124,6;125,7;127,9
Quelle: Statistik Austria – Bundes-Index.;;;;;;;;;;;
