Lohnsteuerpflichtige Einkommen nach Gemeindebezirken 2016 – Frauen;;;;;;
Gemeindebezirk;Durchschnittlicher Jahresbezug
pro Arbeitnehmerin;;Index des
durchschnittlichen
Nettobezuges pro
Arbeitnehmerin;Durchschnittlicher Jahresbezug
pro Pensionistin;;Index des
durchschnittlichen
Nettobezuges
pro Pensionistin
;brutto;netto;;brutto;netto;
;EUR;;;EUR;;
Wien;27648;19694;100;22673;18837;100
1. Innere Stadt;37115;25284;128,4;29430;23411;124,3
2. Leopoldstadt;26827;19093;96,9;21313;17887;95
3. Landstraße;30380;21230;107,8;23138;19117;101,5
4. Wieden;30743;21249;107,9;26137;21191;112,5
5. Margareten;25747;18422;93,5;21121;17751;94,2
6. Mariahilf;29180;20390;103,5;23914;19698;104,6
7. Neubau;31111;21484;109,1;23944;19673;104,4
8. Josefstadt;30956;21315;108,2;27671;22266;118,2
9. Alsergrund;30010;20819;105,7;25590;20740;110,1
10. Favoriten;23810;17442;88,6;20729;17521;93
11. Simmering;24884;18174;92,3;19699;16807;89,2
12. Meidling;25123;18197;92,4;21573;18085;96
13. Hietzing;34587;23846;121,1;28095;22484;119,4
14. Penzing;29287;20744;105,3;24110;19835;105,3
15. Rudolfsheim-Fünfhaus;22602;16565;84,1;19545;16694;88,6
16. Ottakring;25416;18357;93,2;21599;18093;96,1
17. Hernals;26283;18823;95,6;23457;19323;102,6
18. Währing;31340;21703;110,2;26835;21632;114,8
19. Döbling;30959;21515;109,2;26887;21688;115,1
20. Brigittenau;23746;17318;87,9;20170;17102;90,8
21. Floridsdorf;27605;19853;100,8;21521;18089;96
22. Donaustadt;29411;20960;106,4;21567;18132;96,3
23. Liesing;30521;21612;109,7;23626;19549;103,8
Quelle: Statistik Austria – Lohnsteuerstatistik.;;;;;;
