Bruttogehälter und Bruttolöhne in Wien nach Wirtschaftstätigkeiten und Geschlecht 2016;;;;;;
Abschnitt
(ÖNACE 2008);Angestellte – Bruttogehälter *;;;ArbeiterInnen – Bruttolöhne *;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen
;EUR;;;;;
WirtschaftskIassen insgesamt;3032;3733;2662;1934;2207;1591
Land- und Forstwirtschaft; Fischerei;2089;2295;2031;1432;1447;1421
Bergbau und Gewinnung von Steinen und Erden;5668;.;4828;1691;1691;1691
Herstellung von Waren;4379;4900;3413;2662;2933;2001
Energieversorgung;4387;4985;3467;4384;4400;3194
Wasserversorgung; Abwasser- und Abfallentsorgung;3471;4082;2835;2330;2376;1591
Bau;3293;3928;2501;2572;2588;1254
Handel; Instandhaltung und Reparatur von Kraftfahrzeugen;2448;3255;2089;1905;2127;1540
Verkehr und Lagerei;3083;3324;2640;2155;2210;1604
Beherbergung und Gastronomie;2147;2291;2067;1633;1687;1445
Information und Kommunikation;4063;4585;3267;1382;1716;1119
Erbringung von Finanz- und Versicherungsdienstleistungen;4532;5328;3879;2174;2661;1746
Grundstücks- und Wohnungswesen;2998;3501;2777;1642;2122;1375
Erbringung von freiberuflichen, wissenschaftlichen und
technischen Dienstleistungen;3085;3792;2717;1575;1950;1278
Erbringung von sonstigen wirtschaftlichen Dienstleistungen;2531;2856;2319;1763;2020;1439
Öffentliche Verwaltung, Verteidigung, Sozialversicherung;3156;3489;3044;2350;2701;2171
Erziehung und Unterricht;2093;2054;2100;1595;1519;1610
Gesundheits- und Sozialwesen;2403;2661;2326;1590;1524;1655
Kunst, Unterhaltung und Erholung;2569;2853;2271;1697;1801;1580
Erbringung von sonstigen Dienstleistungen;2759;3198;2535;1523;1849;1457
Private Haushalte;1545;1488;1608;1139;1002;1143
Exterritoriale Organisationen und Körperschaften;3368;3493;3313;2822;3202;2026
Wirtschaftsklasse nicht bekannt;2685;2787;2591;1400;1710;1200
Quelle: Hauptverband der österreichischen Sozialversicherungsträger.;;;;;;
* Medianeinkommen. 
;;;;;;
