Ausgewählte nationale Preisindizes 2017 – Monatsübersicht;;;;;;
Monat;Lebenshaltungskostenindex für eine
vierköpfige ArbeiterInnenfamilie *;;;VPI 2000;VPI 2010;VPI 2015
;April 1938 = 100;April 1945 = 100;April 1958 = 100;Ø 2000 = 100;Ø 2010 = 100;Ø 2015 = 100
2017;4926,5;5800,2;662,3;138;114;103
Jänner;4869,1;5732,7;654,6;136,4;112,7;101,8
Februar;4883,4;5749,6;656,5;136,8;113;102,1
März;4907,4;5777,7;659,7;137,5;113,6;102,6
April;4916,9;5789;661;137,8;113,8;102,8
Mai;4921,7;5794,6;661,6;137,9;113,9;102,9
Juni;4926,5;5800,2;662,3;138;114;103
Juli;4912,1;5783,3;660,4;137,6;113,7;102,7
August;4907,4;5777,7;659,7;137,5;113,6;102,6
September;4955,2;5834;666,1;138,8;114,7;103,6
Oktober;4960;5839,7;666,8;139;114,8;103,7
November;4969,5;5850,9;668,1;139,2;115;103,9
Dezember;4988,7;5873,4;670,6;139,8;115,5;104,3
Quelle: Statistik Austria – Verbraucherpreisindex.;;;;;;
VPI = Verbraucherpreisindex (Bundes-Index).
* 1958: VPI vierköpfiger ArbeitnehmerInnenhaushalte.;;;;;;
