Straßenbäume nach Baumgattungen und Altersgruppen 2018;;;;;;;
Baumgattung;Insgesamt;Straßenbäume * nach Altersgruppen **;;;;;
;;bis 19;20–49;50–99;100–199;über 200;nicht erfasst
Wien;90745;22519;39693;20385;3332;37;4779
Ahorn;25065;4969;11278;5872;536;–;2410
Linde;15083;3077;5838;5363;631;11;163
Rosskastanie;10268;1064;3714;3717;1675;12;86
Esche;7559;2534;3521;1039;94;–;371
Platane;3672;609;1809;1016;216;5;17
Zürgelbaum;3247;1970;831;255;6;–;185
Zierkirsche;2878;876;1711;154;2;–;135
Hainbuche;2702;1626;915;63;–;–;98
Robinie;2535;154;1440;531;21;–;389
Zierbirne;2411;1618;678;7;1;–;107
Gleditsie;1982;653;1051;250;2;–;26
Pappel;1727;176;791;400;49;1;310
Schnurbaum;1697;94;1031;543;22;–;7
Baumhasel;1691;798;799;63;4;–;27
Nussbaum;938;128;569;193;2;–;46
Birke;918;81;687;132;1;–;17
Ginkgo;849;611;186;20;–;–;32
Kiefer;820;12;599;198;7;–;4
Eiche;750;161;330;204;35;7;13
Ulme;756;451;212;37;6;–;50
Blasenbaum;611;281;274;38;3;–;15
Götterbaum;417;19;193;104;13;–;88
Weißdorn;327;63;201;35;–;–;28
Zierapfel;300;118;158;6;–;–;18
Fichte;208;26;156;24;–;–;2
Trompetenbaum;206;39;148;15;–;–;4
Mehlbeere;181;50;124;1;–;–;6
Geweihbaum;106;31;72;3;–;–;–
Buche;92;17;40;9;1;1;24
Holunderbaum;63;10;31;6;–;–;16
Blauglockenbaum;53;8;28;16;1;–;–
Eibe;49;5;23;17;3;–;1
Tulpenbaum;48;14;28;5;–;–;1
Magnolie;46;10;34;–;–;–;2
Weide;43;9;19;9;–;–;6
Maulbeerbaum;41;3;24;11;–;–;3
Hopfenbuche;31;14;17;–;–;–;–
Judasbaum;26;4;22;–;–;–;–
Hibiscus;24;21;3;–;–;–;–
Felsenbirne;21;17;3;–;–;–;1
Tamariske;20;17;3;–;–;–;–
Sonstige;284;81;102;29;1;–;71
Quelle: Stadt Wien Wiener Stadtgärten.;;;;;;;
* Von der Stadt Wien Wiener Stadtgärten auf öffentlichen Gemeindestraßen verwaltete und betreute Bäume lt. Baumkataster. 
** Das Alter der Bäume wird aufgrund des Stammumfangs geschätzt. Ab 2006 ist das genaue Pflanzjahr bekannt.;;;;;;;
