Straßenverkehrsunfälle – Verunglückte Personen nach Geschlecht und Gemeindebezirken 2018;;;;;;;;;;;
Gemeindebezirk;Verletzte Personen;;;;Getötete Personen;;;;;;
;insgesamt *;Geschlecht;;darunter...;insgesamt;Geschlecht;;darunter...;;;
;;Männer;Frauen;Kinder auf dem Schulweg;;Männer;Frauen;Kinder auf dem Schulweg;;;
Wien;6461;3647;2807;97;18;11;7;0;;;
1. Innere Stadt;303;172;131;0;0;0;0;0;;;
2. Leopoldstadt;371;221;148;4;1;1;0;0;;;
3. Landstraße;364;208;156;1;1;1;0;0;;;
4. Wieden;145;83;62;0;0;0;0;0;;;
5. Margareten;220;134;86;3;0;0;0;0;;;
6. Mariahilf;113;68;45;1;0;0;0;0;;;
7. Neubau;150;86;64;3;0;0;0;0;;;
8. Josefstadt;84;48;36;0;0;0;0;0;;;
9. Alsergrund;228;124;104;1;0;0;0;0;;;
10. Favoriten;556;310;245;7;0;0;0;0;;;
11. Simmering;262;151;111;5;2;1;1;0;;;
12. Meidling;294;168;126;3;1;1;0;0;;;
13. Hietzing;153;91;62;4;0;0;0;0;;;
14. Penzing;272;145;126;3;2;2;0;0;;;
15. Rudolfsheim–Fünfhaus;246;149;96;5;2;0;2;0;;;
16. Ottakring;375;205;170;8;1;0;1;0;;;
17. Hernals;196;103;93;4;2;1;1;0;;;
18. Währing;165;89;75;4;0;0;0;0;;;
19. Döbling;264;143;121;6;1;1;0;0;;;
20. Brigittenau;162;103;59;4;0;0;0;0;;;
21. Floridsdorf;476;272;204;10;1;1;0;0;;;
22. Donaustadt;720;385;334;18;3;1;2;0;;;
23. Liesing;342;189;153;3;1;1;0;0;;;
Quelle: Statistik Austria  –  Statistik der Straßenverkehrsunfälle.;;;;;;;;;;;
* Die Insgesamtzahl der verletzten Personen entspricht nicht der Summe aus verletzten Männern und verletzten Frauen, 
weil in sieben Fällen das Geschlecht im Unfallbericht nicht vermerkt wurde.;;;;;;;;;;;
