Gemeindebezirk;;Insgesamt **;;Öffentlich zugängliche städtische Parkanlagen ***;;;;;;;;
;;;;Fläche;;Baumbestand;;Wechselflorflächen ****;;;;Bänke
;;;;m²;;;;abs.;;m²;;
Wien;972;990;;12908084,03;;190259;;430;;12093,47;;19518
1. Innere Stadt;23;25;;166972,51;;1622;;46;;1158,28;;1192
2. Leopoldstadt **;70;42;;3377836,17;;71320;;15;;448,41;;1217
3. Landstraße;36;39;;445407,91;;4214;;48;;1346;;969
4. Wieden;16;17;;82180,15;;652;;17;;412,7;;527
5. Margareten;21;25;;90072,64;;932;;2;;31,28;;446
6. Mariahilf;12;12;;42328,42;;454;;6;;158,37;;309
7. Neubau;16;17;;37780,53;;354;;2;;150,37;;327
8. Josefstadt;10;12;;22227,36;;303;;4;;68,47;;252
9. Alsergrund;25;26;;172303,9;;1491;;6;;552,71;;407
10. Favoriten;80;83;;2130554,45;;33574;;60;;1892,9;;2569
11. Simmering;56;48;;389844,97;;3989;;34;;562,84;;1111
12. Meidling;55;58;;269689,41;;3068;;4;;65,92;;894
13. Hietzing;47;47;;496609,63;;12604;;8;;220,8;;570
14. Penzing;46;48;;334936,81;;4509;;12;;153,04;;657
15. Rudolfsheim-Fünfhaus;41;39;;228537,64;;2319;;11;;269,3;;781
16. Ottakring;32;34;;133028,08;;1683;;7;;200,83;;607
17. Hernals;28;27;;87921,07;;1386;;6;;67,74;;350
18. Währing;22;25;;626826,53;;6371;;23;;629,18;;1410
19. Döbling;51;57;;443897,4;;6212;;10;;313,36;;804
20. Brigittenau;29;30;;210214,98;;1679;;5;;108,36;;886
21. Floridsdorf;97;107;;858735,64;;8907;;15;;653,79;;1024
22. Donaustadt;95;100;;1664409,36;;13342;;80;;2220,23;;1467
23. Liesing;64;72;;595768,47;;9274;;9;;408,59;;742
Quelle: Stadt Wien Wiener Stadtgärten.;;;;;;;;;;;;
* Zum Stichtag: 03.04.2019.
** Der Prater wurde als eine Anlage gezählt.
*** Park- und Grünanlagen.
**** Bepflanzte Blumenbeete bzw. Pflanzgefäße in städtischen Parkanlagen, die mehrmals im Jahr umgepflanzt werden.;;;;;;;;;;;;
* Zum Stichtag: 03.04.2019.
** Bepflanzte Blumenbeete bzw. Pflanzgefäße in städtischen Parkanlagen, die mehrmals im Jahr umgepflanzt werden.
*** Der Prater wurde als eine Anlage gezählt.
**** Park- und Grünanlagen.;;;;;;;;;;;;
