Sportanlagen in Wien seit 2007;;;;;;;;;;;;;;;;;;;;;;;;
Sportanlagen;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;
;abs.;m²;abs.;m²;abs.;m²;abs.;m²;abs.;m²;abs.;m²;abs.;m²;abs.;m²;abs.;m²;abs.;m²;abs.;m²;abs.;m²
Großsportanlagen über 1.000 m²;139;3316787;141;3315336;139;3333866;139;3288229;135;3381441;167;3505430;167;3505430;167;3505430;167;3505430;168;3455413;167;3455413;167;3455413
Im Besitz der Stadt Wien;127;2592171;131;2636188;132;2678674;132;2633037;129;2739627;135;2776338;135;2776338;135;2776338;135;2776338;136;2726321;135;2726321;135;2726321
Im Besitz der Stadt Wien, verwaltet über Betriebsführungsverträge;9;629124;9;629124;5;550261;5;550261;5;584355;3;514054;3;514054;3;514054;3;514054;3;514054;3;514054;3;514054
In Verwaltung der Stadt Wien *;3;95492;1;50024;2;104931;2;104931;1;57459;29;215038;29;215038;29;215038;29;215038;29;215038;29;215038;29;215038
Sporthallen **;20;65576;20;65576;20;65576;20;65576;20;65576;20;65576;20;65576;20;65576;20;65576;17;62534;17;62534;17;62534
Schulturnsäle im Besitz der Stadt Wien;498;95570;498;95570;500;96380;530;105264;530;105264;531;105669;520;106229;520;106229;528;108949;534;113479;546;116396;546;116396
Quelle: MA 51.;;;;;;;;;;;;;;;;;;;;;;;;
* Im Gegensatz zu den früheren Jahren sind bei den Großsportanlagen ab 2012 auch alle Spielplätze in Verwaltung der MA 51 mitgerechnet. 
** Einschließlich in städtischen Schulen.;;;;;;;;;;;;;;;;;;;;;;;;
