Ausgewählte Erträge der städtischen Abgaben und Zuschläge in Wien seit 2003;;;;;;;;;;;;;;;;
Abgabenart und Zuschläge;Berichtsjahr;;;;;;;;;;;;;;;
;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
;Mio. EUR;;;;;;;;;;;;;;;
Insgesamt;921,24024713;932,07965876;982,65310752;1007,48720631;1057,70335847;1132,79713489;1155,45909841;1181,9522608;1210,87006414;1295,79911031;1362,30115266;1406,63320036;1377,4;1394,75291927;1457,98470218;
Landes- und Gemeindeabgaben;920,77124798;931,84738297;981,96078865;1006,86736961;1057,35861275;1132,37729458;1154,98143324;1181,4748194;1210,76332519;1295,17328486;1362,30115266;1406,63320036;1377,4;1392,96301927;1457,98470218;Ohne Wett-Terminalabgabe, mit Rückersätze von Ausgaben
Grundsteuer von den land- und forstwirtschaftlichen Betrieben;0,22586284;0,22075689;0,22299438;0,18295698;0,2231209;0,2302931;0,22390548;0,22453022;0,22280262;0,23299301;0,20833154;0,27660914;0,16887907;0,20670352;0,19713959;
Grundsteuer von den Grundstücken;91,56882971;91,68812455;97,66252925;91,51114096;91,84656098;102,7813214;103,45684835;103,9948154;106,81001678;107,6510286;110,53624172;111,66307547;113,06611873;115,90509681;119,95064994;
Kommunalsteuer;512,32970356;523,95131487;539,71081515;557,77325481;599,59295665;633,11634231;628,89940723;649,92728346;678,31453226;702,55848913;720,9783195;736,61653623;758,11844728;780,17471618;803,99932825;
Ortstaxe;9,14942591;9,31548512;9,78217284;11,13665022;12,63652341;13,86964169;12,06246649;12,78369491;14,08942357;15,51892925;17,3646945;18,92669335;21,89904935;21,9853666;23,4632771;
Abgabe von Anzeigen in Zeitungen oder sonstigen Druckwerken *;0,1870519;0,13972439;0,69174968;0,01653299;0,20656661;–;–;–;–;–;–;–;0;–;1,19858122;
Vergnügungssteuer;49,54582421;48,98259205;53,32488035;59,41988258;61,33020969;64,81658361;68,17462245;70,04437421;66,37334562;59,32009002;57,45160164;52,21204422;4,36302315;7,47605308;4,32135259;
Abgabe für das Halten von Tieren;2,21814655;2,27771413;2,26470214;2,31852527;2,35191054;2,37355333;2,45791513;2,57936947;2,61777644;4,32140746;4,32904187;4,22456998;4,26546128;4,31956773;170,94339842;
Abgabe von freiwilligen Feilbietungen;1,01809857;0,90421508;–;–;–;–;–;–;–;–;–;–;0;0;10,57955987;
Abgabe von Ankündigungen;–;–;–;–;–;–;–;–;–;0,00081487;0,00021908;–;0;0;44,71476261;
Abgabe für den Gebrauch von öffentlichem Grund in den Gemeinden und des darüber befindlichen Luftraums;109,85211228;114,62354644;111,76782022;121,43070928;115,63169948;124,13104194;136,20607032;136,92506399;146,63956989;157,19169712;144,67689204;169,88839658;155,91619047;143,00160251;66,00518345;
Feuerschutzsteuer;8,80202888;9,24649544;10,4874929;7,14690177;8,79713194;9,80726403;9,61571987;9,53888567;9,7530813;9,74743515;9,79434934;10,20037302;10,44234396;10,49955667;115,7404317;
Kulturförderungsbeitrag;19,18122893;19,79554936;20,97074123;24,11268372;29,08720152;29,96010469;31,29569043;31,10488487;31,01034657;33,46767491;35,62542588;35,74791019;35,48177715;35,09083572;4,83665;
DienstgeberInnenabgabe;22,37265452;21,30768496;22,60663946;22,43969395;22,21523671;22,97234947;23,57734261;21,81916845;21,96812993;41,98120489;67,17551421;66,22642225;65,45196979;66,95167846;1,68206877;
Parkometerabgabe;42,11891722;40,11812093;41,88654247;44,48591703;56,37229981;65,25484952;67,67482512;66,66389522;69,28832936;95,48429635;102,3216255;102,0517348;110,56089737;110,84114219;2,05452226;
Wettterminalabgabe **;;;;;;;;;;;;;;1,7899;0,3521752;
Sportförderungsbeitrag;0,69140954;1,1568066;1,43352831;1,15191861;1,08568771;3,56613135;1,26001525;1,24510128;1,04732824;1,47190968;1,548422;1,67040301;2,2003508;2,19196854;11,52574501;
Nebenansprüche;6,22006964;2,68633106;1,00987914;–;–;1,45444417;1,36984502;1,29497318;1,60587388;1,34833993;3,63863156;2,03121202;2,28640622;2,17449279;2,76642926;
Interessentenbeiträge von Grundstückseigentümern und Anrainern;0,00006824;0,2254827;0,61241084;0,47727341;0,11068069;0,33234853;0,46202951;0,23832263;0,27149957;0,27668578;0,47646805;0,25649652;0,51127722;0,28997492;8,75931575;
Ausgleichsabgaben (nach dem);1,16514149;2,12840366;3,89873089;1,57413123;2,60782171;3,38581306;4,58168808;3,81266909;4,28316561;6,89046862;4,08717289;5,52022219;6,32772173;7,75262142;26,57414696;
Wiener Garagengesetz;0,36266441;0,98132074;1,18031585;1,15355457;1,95469774;2,26170739;2,32875278;2,30896089;3,17357801;4,99541834;0,88696151;4,01823999;4,47629373;1,554348;0,7238477;
Wiener Baumschutzgesetz;0,80248008;1,14708292;2,71841504;0,42057666;0,65312397;1,12410567;2,2529353;1,5037082;1,1095876;1,89505028;3,20021138;1,5019822;1,851428;6,19827342;48,92524304;
Verwaltungsabgaben;17,14320615;17,11309042;17,29421805;21,76779508;21,58542714;20,64767902;21,23452186;22,23143234;20,02420916;22,76759856;21,8580785;22,10156758;22,88672213;25,49594943;0;
Kommissionsgebühren;0,47879563;0,57412455;0,6359135;0,72105447;0,77969651;0,85823411;0,77004919;0,87790224;0,84672511;0,83091526;0,74713245;0,73794263;0,71212703;0,703137;0;
Laufende Transferzahlungen privater Haushalte;26,50267221;25,39181977;30,09702785;32,86021929;30,89788075;32,81929925;31,77799432;33,46235184;35,59437783;34,10837127;59,39291595;66,18796941;62,66967099;57,80864271;0;
Kapitaltransferzahlungen von Unternehmungen (ohne Kreditinstitute);–;–;15,6;6,34012796;–;–;9,88;12,70288964;–;–;–;–;0;0;0;
Abgaben von demselben Besteuerungsgegenstand (Gewerbesteuer);0,25082192;0,22620579;0,40860107;0,4245097;0,14584622;0,11288759;0,2298343;0,23442464;0,02936637;0,62443511;0,00788591;0,001307851;0;0;0;
Zuschläge zu den Wettgebühren;0,21817723;0,00607;0,2837178;0,195327;0,1988995;0,30695272;0,24783087;0,24301676;0,07737258;0,00139034;–;–;0;;;
Quelle: Rechnungsabschluss der Stadt Wien.;;;;;;;;;;;;;;0,08448374;Rückersätze von Ausgaben;
* Erträge aus Restabwicklungsverfahren der bis ins Jahr 2000 gültigen  Anzeigen- und Ankündigungsabgaben.
** Wettterminalabgabe wurde 2016 eingeführt;;;;;;;;;;;;;;;;
