Einnahmeerfolg und Abgabenertragsanteile Wiens als Land und Gemeinde seit 2000;;;;;
Jahr;Einnahmeerfolg;;Ertragsanteile Wiens;;
;in Wien;in Österreich;insgesamt;als Land;als Gemeinde
;;;;;
;Mio. EUR;;;;
2000;21675,0572298569;44222,7109874058;2952,26106988946;1431,9535911281;1520,30747876136
2001;23565,883119118;49829,2794428174;3212,8046218469;1500,9883590474;1711,8162627995
2002;23225,73802652;48509,09290062;3029,64616533032;1422,55572613966;1607,09043919066
2003;22871,00489273;47440,37176425;2938,72253834895;1366,47739714432;1572,24514120463
2004;23061,27067152;49895,79145097;3085,44310701228;1434,4991477902;1650,94395922209
2005;26396,1532851;54724,12623448;3092,9706618661;1454,69373282924;1638,27692903685
2006;27229,818501;57324,919824;3269,010995;1530,458258;1738,552737
2007;28351,67407297;61837,03482861;3531,10980863352;1669,64811586296;1861,46169277056
2008;29906,45116764;65520,44195588;3926,20108047688;1939,24717975103;1986,95390072585
2009;28104,00289775;61587,17359952;4422,46075772289;2548,8713294691;1873,58942825379
2010;29005,51695518;63608,23569755;4595,04108687825;2624,5064927216;1970,53459415664
2011;31586,42792162;68017,65840976;4929,2999574814;2832,44477041422;2096,85518706718
2012;32661,06110741;70972,42689064;5103,21760649711;2869,61559948045;2233,60200701666
2013;33367,36135383;75046,30431264;5335,17179446293;3034,78203421137;2300,38976025156
2014;34446,709527;77310,334444;5549,54814812561;3155,99225716613;2393,55589095948
2015;35822,33451357;81111,31625591;5873,99273986306;3324,90580740457;2549,08693245849
2016;35058,85336534;79671,68800199;5795,87218563553;3273,24457541656;2522,62761021897
2017;;;6051,460531;3409,496511;2641,96402
Quelle: Bundesrechenzentrum.;;;;;
