Öffentlich Bedienstete des Landes und der Gemeinde außerhalb des Magistrats Wien nach Geschlecht seit 2011;;;;;;;;;
Jahr *;Insgesamt;Geschlecht;;Beschäftigte zum 31.12. davon…;;;;;
;;;;Beamtinnen und Beamte;;;Vertragsbedienstete;;
;;Männer;Frauen;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;;;Männer;Frauen;;Männer;Frauen
Wiener Wohnen;;;;;;;;;
2011;701;414;287;431;253;178;270;161;109
2012;698;412;286;417;246;171;281;166;115
2013;687;398;289;397;231;166;290;167;123
2014;699;392;307;389;220;169;310;172;138
2015;694;388;306;366;203;163;328;185;143
2016;713;394;319;354;192;162;359;202;157
2017;714;386;328;348;188;160;366;198;168
Wiener Krankenanstaltenverbund;;;;;;;;;
2011;29570;7878;21692;8655;2550;6105;20915;5328;15587
2012;29487;7873;21614;8296;2445;5851;21191;5428;15763
2013;29334;7892;21442;7946;2335;5611;21388;5557;15831
2014;29349;7959;21390;7588;2228;5360;21761;5731;16030
2015;29342;7977;21365;7269;2125;5144;22073;5852;16221
2016;29190;7934;21256;6929;2026;4903;22261;5908;16353
2017;29138;8067;21071;6585;1932;4653;22553;6135;16418
Wien Kanal;;;;;;;;;
2011;585;548;37;395;372;23;190;176;14
2012;574;534;40;382;360;22;192;174;18
2013;555;516;39;360;339;21;195;177;18
2014;544;502;42;335;314;21;209;188;21
2015;546;500;46;325;303;22;221;197;24
2016;539;494;45;317;294;23;222;200;22
2017;521;477;44;295;273;22;226;204;22
Wiener Stadtwerke;;;;;;;;;
2011;9120;7948;1172;5818;5157;661;3302;2791;511
2012;8742;7615;1127;5543;4907;636;3199;2708;491
2013;8341;7269;1072;5270;4670;600;3071;2599;472
2014;8014;6986;1028;5033;4461;572;2981;2525;456
2015;7771;6765;1006;4863;4302;561;2908;2463;445
2016;7143;6235;908;4333;3846;487;2810;2389;421
2017;6578;5730;848;3904;3455;449;2674;2275;399
Landeslehrerinnen und Landeslehrer;;;;;;;;;
2011;12017;2029;9988;6452;834;5618;5565;1195;4370
2012;12401;2116;10285;6066;765;5301;6335;1351;4984
2013;12622;2211;10411;5646;697;4949;6976;1514;5462
2014;13010;2266;10744;5447;660;4787;7563;1606;5957
2015;13425;2358;11067;5325;639;4686;8100;1719;6381
2016;13863;2455;11408;5089;605;4484;8774;1850;6924
2017;14580;2580;12000;4857;576;4281;9723;2004;7719
Quelle: MA 2 – Bezugsverrechnung für LandeslehrerInnen und Pensionen,  MD – Geschäftsbereich Personal und Revision/Gruppe Strategisches Personalcontrolling, MD – Personalstelle Wiener Stadtwerke.;;;;;;;;;
* Außerdem waren in den ausgelagerten Bereichen (ASFINAG, Fonds Soziales Wien, Gesundheitsförderung, Konservatorium Wien GmbH, Wien Museum und Sucht- und Drogenkoordination) folgende Bedienstete der Stadt Wien tätig: 2012: 639, 2013: 618, 2014: 588, 2015: 570, 2016: 525, 2017: 490.;;;;;;;;;
