Personal der Bundesverwaltung in Wien nach Dienststellen und Geschlecht 2017;;;;;;;;;
Dienststelle *;Insgesamt;Geschlecht;;Beschäftigte zum 31.12. – davon…;;;;;
;;;;Beamtinnen und Beamte;;;Vertragsbedienstete;;
;;Männer;Frauen;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;;;Männer;Frauen;;Männer;Frauen
Personal der Bundesverwaltung;50040;24902;25138;24003;15092;8911;26037;9810;16227
Präsidialkanzlei;74;37;37;32;19;13;42;18;24
Bundesgesetzgebung;777;423;354;507;307;200;270;116;154
Verfassungsgerichtshof;112;41;71;42;14;28;70;27;43
Verwaltungsgerichtshof;200;86;114;83;54;29;117;32;85
Volksanwaltschaft;105;35;70;47;19;28;58;16;42
Bundesrechnungshof;309;161;148;243;129;114;66;32;34
Bundeskanzleramt;1433;563;870;566;234;332;867;329;538
BM für Inneres;12342;8670;3672;9243;7270;1973;3099;1400;1699
darunter Wachebeamte;7902;6603;1299;7902;6603;1299;–;–;–
BM für Europa, Integration und Äußeres;1239;616;623;488;314;174;751;302;449
BM für Finanzen;4276;2038;2238;2276;1223;1053;2000;815;1185
BM für Arbeit, Soziales und Konsumentenschutz;1152;474;678;670;291;379;482;183;299
BM für Gesundheit und Frauen;595;204;391;320;126;194;275;78;197
BM für Familie und Jugend;133;41;92;44;16;28;89;25;64
BM für Bildung;15653;5571;10082;2478;862;1616;13175;4709;8466
BM für Kunst und Kultur;431;216;215;175;84;91;256;132;124
BM für Justiz;4095;1722;2373;2354;1300;1054;1741;422;1319
BM für Wirtschaft;1663;929;734;888;570;318;775;359;416
BM für Land- und Forstwirtschaft, 
Umwelt und Wasserwirtschaft;1579;785;794;756;447;309;823;338;485
BM für Verkehr, Innovation und Technologie;917;484;433;364;222;142;553;262;291
BM für Wissenschaft und Forschung;2955;1806;1149;2427;1591;836;528;215;313
Quelle: Bundesministerium für Finanzen.;;;;;;;;;
* Bezeichnung der Bundesministerien mit Stand 31.12.2017. Ohne Personal des Bundesministeriums für Landesverteidigung und Sport, da die Daten nur als Bundesgesamtsumme zur Verfügung stehen.;;;;;;;;;
