Städtische Feuerwehreinsätze* und Einsatzpersonal nach Geschlecht in Wien seit 2006;;;;;;;;;;;;
Einsatz 
Einsatzpersonal;Berichtsjahr;;;;;;;;;;;
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Feuerwehreinsätze;33565;35680;36470;35532;35872;34065;33541;33006;32352;32401;33217;35525
Brand;8890;9088;9522;9367;9562;9873;10464;10096;9897;9941;10634;10529
Schadstoff;769;714;676;657;617;717;882;839;913;894;861;842
Rettung von Mensch und Tier;5144;5171;5135;5200;5194;5231;6618;6529;5429;5358;5798;6893
Verkehr;6137;5965;6132;6492;6633;5735;5577;5496;5125;5053;4878;4827
Technische Einsätze;12625;14742;15005;13816;13866;12509;10000;10046;10988;11155;11046;12434
Einsatzpersonal;1525;1549;1575;1561;1611;1592;1592;1607;1605;1639;1644;1642
Männer;1522;1546;1572;1558;1608;1589;1589;1603;1599;1632;1637;1635
Frauen;3;3;3;3;3;3;3;4;6;7;7;7
Quelle: MA 68.;;;;;;;;;;;;
* Einsätze im Wiener Stadtgebiet und Wien-Umgebung.;;;;;;;;;;;;
