W0001;;;;;;;;;vormals F0031
Mandatsverteilung im Wiener Gemeinderat (und Landtag) seit 1945;;;;;;;;;
Jahr *;Mandatsverteilung im Wiener Gemeinderat (und Landtag);;;;;;;;
;SPÖ;FPÖ;GRÜNE;ÖVP;NEOS;KPÖ;LIF;;
1945;58;–;–;36;–;6;–;;
1949;52;6;–;35;–;7;–;;
1954;59;–;–;35;–;6;–;;
1959;60;4;–;33;–;3;–;;
1964;60;3;–;35;–;2;–;;
1969;63;4;–;30;–;–;–;;
1973;66;3;–;31;–;–;–;;
1978;62;3;–;35;–;–;–;;
1983;61;2;–;37;–;–;–;;
1987;62;8;–;30;–;–;–;;
1991;52;23;7;18;–;–;–;;
1996;43;29;7;15;–;–;6;;
2001;52;21;11;16;–;–;–;;
2005;55;13;14;18;–;–;–;;
2010;49;27;11;13;–;–;–;;
2015;44;34;10;7;5;–;–;;
Quelle: Stadtwahlbehörde.;;;;;;;;;
* 1969: 3 Mandate DFP = Demokratische Fortschrittliche Partei – Wahlgemeinschaft Franz Olah.;;;;;;;;;
