W0002;;;;;;;;vormals F0032
Gemeinderatswahl – Wahlberechtigte nach Geschlecht und Wahlbeteiligung nach Gemeindebezirken 2015;;;;;;;;
Gemeindebezirk;Wahlberechtigte;;;Abgegebene Stimmen;;Wahlbeteiligung;;
;insgesamt;Geschlecht;;insgesamt;darunter…;;;
;;Männer;Frauen;;gültig;%;;
Wien;1143076;536208;606868;854406;832981;74,7462111005742;;
1. Innere Stadt;11329;5383;5946;8702;8543;76,8117221290493;;
2. Leopoldstadt;59433;28313;31120;43499;42495;73,1899786314001;;
3. Landstraße;55826;25924;29902;42278;41273;75,7317378999033;;
4. Wieden;20219;9520;10699;15692;15277;77,6101686532469;;
5. Margareten;31626;15095;16531;22889;22393;72,3739960791754;;
6. Mariahilf;20433;9795;10638;15574;15366;76,2198404541673;;
7. Neubau;20464;9639;10825;16166;15841;78,9972634870993;;
8. Josefstadt;15821;7484;8337;12810;12621;80,9683332279881;;
9. Alsergrund;25996;12074;13922;20287;19967;78,0389290660102;;
10. Favoriten;110710;52610;58100;77792;75857;70,2664619275585;;
11. Simmering;60201;28726;31475;43645;42479;72,4987957010681;;
12. Meidling;55346;25869;29477;39045;38095;70,5471036750623;;
13. Hietzing;37894;17095;20799;30413;29816;80,2580883517179;;
14. Penzing;60010;27859;32151;45641;44720;76,0556573904349;;
15. Rudolfsheim-Fünfhaus;40191;19126;21065;27835;27198;69,2567987857978;;
16. Ottakring;58161;27257;30904;42460;41343;73,0042468320696;;
17. Hernals;33065;15370;17695;24695;24156;74,6862241040375;;
18. Währing;31643;14155;17488;25006;24581;79,0253768606011;;
19. Döbling;48130;21657;26473;37296;36368;77,4901308954914;;
20. Brigittenau;48035;22788;25247;33584;32475;69,9156864786093;;
21. Floridsdorf;105431;50016;55415;79311;76638;75,2255029355692;;
22. Donaustadt;123127;58150;64977;94623;92092;76,8499191891299;;
23. Liesing;69985;32303;37682;55163;53387;78,8211759662785;;
Quelle: Stadtwahlbehörde.;;;;;;;;
