W0006;;;;;;;;;vormals F0036
Bezirksvertretungswahlen – Verteilung der Mandate nach Gemeindebezirken 2015;;;;;;;;;
Gemeindebezirk;Insgesamt;Bezirksvertretungswahlen;;;;;;;
;;SPÖ;FPÖ;GRÜNE;ÖVP;NEOS;sonstige
Parteien *;;
Wien;1144;408;298;211;150;62;15;;
1. Innere Stadt;40;10;8;6;10;4;2;;
2. Leopoldstadt;60;17;14;22;3;3;1;;
3. Landstraße;56;22;12;11;6;4;1;;
4. Wieden;40;13;6;11;7;3;–;;
5. Margareten;40;16;8;10;3;2;1;;
6. Mariahilf;40;14;6;12;5;3;–;;
7. Neubau;40;10;5;18;4;3;–;;
8. Josefstadt;40;8;4;12;13;2;1;;
9. Alsergrund;40;13;6;12;6;3;–;;
10. Favoriten;60;25;24;4;4;2;1;;
11. Simmering;60;25;26;3;3;2;1;;
12. Meidling;58;24;18;8;5;2;1;;
13. Hietzing;40;10;7;5;16;2;–;;
14. Penzing;56;20;16;9;8;3;–;;
15. Rudolfsheim-Fünfhaus;50;20;13;11;3;2;1;;
16. Ottakring;60;24;17;10;5;3;1;;
17. Hernals;40;14;10;8;5;3;–;;
18. Währing;40;9;5;12;11;3;–;;
19. Döbling;48;14;9;5;16;4;–;;
20. Brigittenau;56;25;18;7;3;2;1;;
21. Floridsdorf;60;24;23;4;4;2;3;;
22. Donaustadt;60;26;23;5;4;2;–;;
23. Liesing;60;25;20;6;6;3;–;;
Quelle: Stadtwahlbehörde.;;;;;;;;;
* Im 1. Bezirk WIR (Wir im Ersten), im 2., 3., 5., 15. und 16 Bezirk ANDAS (Wien Anders – KPÖ, Piraten, Echt Grün und Unabhängige), im 8. Bezirk ECHT (ECHT-Josefstadt - Liste Heribert Rahdjian), im 10., 11. und 20. Bezirk GFW (Gemeinsam für Wien), im 12. Bezirk PH (Pro Hetzendorf), im 21. Bezirk WIFF (Wir für Floridsdorf).;;;;;;;;;
