W0008;;;;;;;;;;;vormals F0038
Wahlen zum Europäischen Parlament – Stimmenanteile der Parteien nach Gemeindebezirken 2014;;;;;;;;;;;
Gemeindebezirk;Europawahl;;;;;;;;;;
;SPÖ;GRÜNE;FPÖ;ÖVP;NEOS *;ANDERS **;EUSTOP ***;REKOS ****;BZÖ *****;;
;%;;;;;;;;;;
Wien;27,62;20,9;18,21;16,6;9,09;3,95;2,39;0,93;0,31;;
1. Innere Stadt;18,6569478908189;18,75;10,0806451612903;32,8939205955335;14,1749379652605;2,57444168734491;1,03908188585608;1,56637717121588;0,263647642679901;;
2. Leopoldstadt;27,9863739591219;27,2293716881151;14,8978046934141;12,5813777441332;8,72823618470856;5,57910673732021;1,99848599545799;0,768357305071915;0,230885692657078;;
3. Landstraße;24,4759922699569;25,8993607848967;13,2562806600268;18,3514196521481;10,3649472275903;4,54511669392002;1,67979782964174;1,17437193399732;0,252712947822209;;
4. Wieden;20,6906051979061;28,3037928184406;9,80806318302874;22,0497750022959;11,7274313527413;4,67444209752962;1,43263844246487;1,07447883184865;0,238773073744145;;
5. Margareten;25,2144933702049;29,0931007587038;13,0965042898674;14,2168332978799;9,54406863787847;6,09090264482734;1,94284903921152;0,659434162944055;0,141813798482592;;
6. Mariahilf;20,9149059895329;32,1767784454352;9,5464237255282;16,5729792595464;12,550881953867;5,70847063384377;1,45377011048653;0,881953867028494;0,193836014731537;;
7. Neubau;20,5027634159387;35,4430379746835;8,3793902656445;15,5910144410768;12,3105722945267;5,62488857193796;1,1231948653949;0,793367801747192;0,231770369049741;;
8. Josefstadt;18,2015402972123;30,8167914090465;8,25469139819937;21,9329645297755;13,0708319774379;5,54290053151101;1,05217485627508;0,835231586940015;0,292873413602343;;
9. Alsergrund;20,7878874856487;29,0757749712974;9,78760045924225;19,5321469575201;12,7296211251435;5,49655568312285;1,39925373134328;0,947187141216992;0,243972445464983;;
10. Favoriten;35,0133159137732;12,6953419426159;27,1016531832571;11,602432038591;5,94191246671022;3,20084417868449;3,30887895080649;0,846691121049194;0,288930204512336;;
11. Simmering;35,8208955223881;11,6923525694006;28,6547717438864;10,3651125480091;5,9652875686713;2,87325587048471;3,35456269142885;0,899411736107735;0,374349749623219;;
12. Meidling;29,9959207723338;18,9140189457463;19,9882155645198;15,1701944431854;7,73693514028011;4,05203281512034;2,85999184154467;0,992612065448942;0,290078411820695;;
13. Hietzing;20,6708799222168;18,5901798736023;12,9995138551288;29,5819154107924;12,1536217792902;2,73213417598444;1,93971803597472;1,06465726786582;0,267379679144385;;
14. Penzing;25,5967290408133;21,239133637837;17,6661264181524;18,8743185501694;9,3192868719611;3,73508177397967;2,27272727272727;0,957713275379402;0,338883158980404;;
15. Rudolfsheim-Fünfhaus;27,5660377358491;27,6981132075472;16,4150943396226;11,2578616352201;7,58490566037736;5,9748427672956;2,06918238993711;1,10691823899371;0,327044025157233;;
16. Ottakring;27,7989587176649;24,8021973516993;17,6936006231296;13,7908416348953;7,46935596277621;5,13262001393842;2,15635633173451;0,811708276964703;0,344361087197147;;
17. Hernals;23,1524513975257;26,0456895987432;15,0945866335013;18,3936636774236;9,85795640505335;4,56895987432087;1,8328205799568;0,700399293054919;0,35347254042024;;
18. Währing;17,9947841205448;26,664734859461;10,1593740944654;26,1721240220226;12,512315270936;3,94668212112431;1,34453781512605;0,950449145175311;0,254998551144596;;
19. Döbling;22,9628422425033;17,7884615384615;13,8119295958279;27,9905475880052;11,8236636245111;2,70127118644068;1,73565840938722;0,941166883963494;0,244458930899609;;
20. Brigittenau;32,3782391935572;20,5445680162165;21,2567797074454;10,9187530816852;7,16046677258533;4,40475538267682;2,29551306634526;0,745083000054786;0,295841779433518;;
21. Floridsdorf;32,946273830156;14,0826937360733;26,0782371874226;12,6838326318396;6,75909878682842;2,79524634810597;3,37954939341421;0,93092349591483;0,34414459024511;;
22. Donaustadt;32,3306634163329;15,4644784955598;23,8616576702072;11,9841546230193;8,06198850774856;3,18431133553892;3,58044576005572;1,09263451157931;0,43966567995821;;
23. Liesing;30,094955306053;16,5135628344314;20,2066128483499;17,6425102842473;9,0903467260524;2,53626550369614;2,71565989298197;0,81346076520986;0,386625838978071;;
Österreich;;;;;;;;;;;
Stimmenanteil;24,09;14,52;19,72;26,98;8,14;2,14;2,76;1,18;0,47;;
Quelle: Landeswahlbehörde Wien und Bundeswahlbehörde.;;;;;;;;;;;
* NEOS = NEOS Das Neue Österreich und Liberales Forum.
** ANDERS = Europa anders - KPÖ, Piratenpartei, Wandel und Unabhängige.
*** EUSTOP = EU-Austritt, Direkte Demokratie, Neutralität (EU-Stop).
**** REKOS = Die Reformkonservativen.
***** BZÖ = Liste Mag. Werthmann.;;;;;;;;;;;
