Nominelle Bruttowertschöpfung in Wien zu Herstellungspreisen seit 2010;;;;;;;
Abschnitt
(ÖNACE 2008);Berichtsjahr *;;;;;;
;2010;2011;2012;2013;2014;2015;2016
;Mio. EUR;;;;;;
Bruttowertschöpfung;69015;71264;72439;73769;75082;78086;80264
Land- und Forstwirtschaft, Fischerei (A);33;33;29;40;38;19;21
Bergbau und Gewinnung von Steinen u. Erden (B);18;24;23;25;20;22;20
Herstellung von Waren  (C);5935;5524;5661;5665;5510;5887;5982
Energieversorgung (D);1394;1284;1079;1488;1199;1297;1464
Wasserversorgung; Abwasser- u. Abfallentsorgung u. Beseitigung v. Umweltverschmutzungen (E);459;453;561;538;584;598;623
Bau (F);3162;3214;3290;3370;3428;3435;3578
Handel; Instandhaltung und Reparatur von KFZ (G);9871;10448;10408;9934;9966;10338;10317
Verkehr und Lagerei (H);3893;4045;4257;4433;4467;4416;4416
Beherbergung und Gastronomie (I);2126;2235;2344;2391;2552;2715;2926
Information und Kommunikation (J);5504;5869;5786;6014;6307;6546;6695
Erbringung von Finanz- und Versicherungsdienstl. (K);4708;4921;4627;4822;4852;5159;5170
Grundstücks- und Wohnungswesen (L);5937;6299;6647;6869;7160;7347;7688
Erbringung v. freiberuflichen, wissenschaftl., techn. u. sonst. wirtschaftl. Dienstl. (M+N);9626;10162;10522;10647;11037;11589;11979
Öffentliche Verwaltung, Verteidigung; Sozialversicherung (O);4473;4559;4648;4684;4768;4692;4832
Erziehung und Unterricht (P);4226;4364;4489;4558;4678;5064;5277
Gesundheits- und Sozialwesen (Q);4684;4755;4934;5121;5315;5621;5917
Kunst, Unterhaltung und Erholung, Erbringung von sonst. Dienstl., private Haushalte (R,S,T);2966;3073;3134;3169;3204;3342;3357
Quelle: Statistik Austria – Regionale Gesamtrechnung, ESVG 2010 (Revisionsstand Juli 2016).;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;
* 2015: vorläufige Zahlen.;;;;;;;
