Buttoregionalprodukt in Wien seit 2000;;;;;;;;;;
Jahr;Insgesamt;Bruttoregionalprodukt;;;;;;;;
;;Anteil Wiens am Bruttoinlandsprodukt Österreichs;pro Beschäftigungsverhältnis in EUR;;pro EinwohnerIn in EUR;;;;;
;Mio. EUR;%;Wien;Österreich;Wien;Österreich;;Ö/BV;Ö BRP;W/BV
2000;57601;27,0178614983396;64445,0660102931;53998,2776961653;37100;26600;;3948200;213,196;893800
2001;59780;27,1608752544344;66488,7109331554;55340,8262301677;38300;27400;;3977100;220,096;899100
2002;61955;27,3770122358077;68892,4719226065;56877,1991555243;39100;28000;;3978800;226,303;899300
2003;62284;26,9628872852263;69343,1307058562;57767,0801240372;38900;28500;;3998800;230,999;898200
2004;64207;26,5861990434981;71803,8470140908;60149,1868197554;39600;29600;;4015100;241,505;894200
2005;67051;26,501428802928;74368,8997338066;62210,2286697812;40800;30800;;4067000;253,009;901600
2006;70711;26,5353987946472;76593,3708838821;64442,9397112524;42700;32200;;4135100;266,478;923200
2007;73433;26,0080680864327;78053,7840136054;67024,4029815316;44100;34000;;4212600;282,347;940800
2008;76251;26,1196177165759;79230,0498753117;67819,7235451272;45500;35100;;4304500;291,93;962400
2009;75755;26,4703621395726;78829,3444328824;66947,6934593431;45000;34300;;4274800;286,188;961000
2010;77517;26,3595823363063;79741,7961115112;68395,4314367296;45700;35200;;4307700;294,627;972100
2011;80022;26,0121487000891;81010,3259769184;70439,3472555061;46800;36800;;4381500;308,63;987800
2012;81343;25,7782625554438;80914,1549786134;71608,9981028097;47100;37600;;4427600;317,056;1005300
2013;82903;25,6770873696121;81895,6830978959;72493,3204607198;47300;38100;;4453900;322,878;1012300
2014;84212;25,6;82358,924205379;73147,6298369541;47300;38500;;4501800;329,296;1022500
2015;86538;25,460140748935;84009,3194835453;75073,6609607951;47700;39400;;;;
2016;90111;25,50573597;86387,69054;76949,23007;48600;40400;;;;
Quelle: Statistik Austria – Regionale Gesamtrechnungen, ESVG 2010, (VGR-Revisionsstand: Juli 2015).;;;;;;;;;;
;;;;;;;;;;
Im Jahr 2015 geringe  Datenrevisionen f. 2010 bis 2013;;;;;;;;;;
