Arbeitsstätten und Beschäftigte in Wien nach Geschlecht und Wirtschaftstätigkeiten 2015;;;;
Abschnitt und ausgewählte Abteilung
(ÖNACE 2008);Arbeitsstätten;Beschäftigte;;
;;insgesamt;Geschlecht;
;;;Männer;Frauen
Insgesamt;143645;1018578;532526;486052
Land- und Forstwirtschaft;825;2018;1168;850
Bergbau;20;217;155;62
Herstellung von Waren;3832;56964;39749;17215
Nahrungs- und Futtermittel;488;8506;4805;3701
Elektrische Ausrüstungen;121;8359;6284;2075
Reparatur/Installation v. Maschinen;293;6049;5074;975
Pharmazeutische Erzeugnisse;75;4594;2458;2136
Maschinenbau;155;4094;3329;765
Metallerzeugnisse;413;3834;2949;885
Sonstige Waren;591;3276;1773;1503
Kraftwagen und -teile;19;2595;2397;198
Datenverarbeitungsgeräte;127;2366;1773;593
Druckerzeugnisse;276;2139;1498;641
Rest;1274;9127;6174;2953
Energieversorgung;380;5745;4419;1326
Wasserversorgung und Abfallentsorgung;265;1864;1274;590
Abfallbehandlung;197;1248;945;303
Beseitigung v. Umweltverschmutzungen;47;399;156;243
Abwasserentsorgung;21;217;173;44
Bau;7919;54806;48187;6619
Sonst. Bautätigkeiten;6749;34910;30212;4698
Hochbau;1064;15842;14142;1700
Tiefbau;106;4054;3833;221
Handel;22551;142518;70587;71931
Einzelhandel;13638;77411;28149;49262
Großhandel;7282;49940;29849;20091
Kfz-Handel und -reparatur;1631;15167;12589;2578
Verkehr;4811;44654;36350;8304
Landverkehr;3822;25813;22470;3343
Dienstleistungen für den Verkehr;585;10882;8266;2616
Post- und Kurierdienste;332;7530;5362;2168
Luftfahrt;56;290;142;148
Schifffahrt;16;139;110;29
Beherbergung und Gastronomie;8504;64603;34596;30007
Information und Kommunikation;9889;60248;40628;19620
IT-Dienstleistungen;4649;24345;18132;6213
Informationsdienstleistungen;2885;12891;8942;3949
Telekommunikation;213;7713;5184;2529
Rest;2142;15299;8370;6929
Finanz- und Versicherungsleistungen;3719;44919;22519;22400
Grundstücks- und Wohnungswesen;4390;22041;11663;10378
Freiberufliche/techn. Dienstleistungen;29483;95980;47778;48202
Unternehmensführung, -beratung;8942;24669;13738;10931
Rechtsberatung und Wirtschaftsprüfung;5557;22851;7923;14928
Architektur- und Ingenieurbüros;4808;16927;10946;5981
Werbung und Marktforschung;4837;16905;7798;9107
Rest;5339;14628;7373;7255
Sonst. wirtschaftl. Dienstleistungen;6425;85796;44333;41463
Öffentliche Verwaltung;659;88273;43465;44808
Erziehung und Unterricht;5055;104708;36512;68196
Gesundheits- und Sozialwesen;13263;77874;21106;56768
Kunst, Unterhaltung und Erholung;7761;27240;14856;12384
Sonst. Dienstleistungen;13894;38110;13181;24929
Quelle: Statistik Austria – Arbeitsstättenzählung 2015.;;;;
;;;;
;;;;
Anmerkung: Achtung neue Tabelle!;;;;
