Unselbstständig Beschäftigte in Arbeitsstätten in Wien nach Geschlecht und Wirtschaftstätigkeiten 2015;;;;;;
Abschnitt und ausgewählte Abteilung
(ÖNACE 2008);Insgesamt;Unselbstständig Beschäftigte;;;;
;;Geschlecht;;darunter fremde Staatsangehörigkeit;;
;;Männer;Frauen;Insgesamt;Männer;Frauen
Insgesamt;921388;474559;446829;193515;103605;89910
Land- und Forstwirtschaft;1118;604;514;738;451;287
Bergbau;208;148;60;37;23;14
Herstellung von Waren;54918;38272;16646;9747;6485;3262
Elektrische Ausrüstungen;8328;6254;2074;886;578;308
Nahrungs- und Futtermittel;8312;4673;3639;2948;1778;1170
Reparatur/Installation v. Maschinen;5877;4922;955;429;338;91
Pharmazeutische Erzeugnisse;4579;2449;2130;634;328;306
Maschinenbau;4034;3273;761;572;463;109
Metallerzeugnisse;3649;2782;867;795;663;132
Sonstige Waren;2852;1484;1368;494;234;260
Kraftwagen und -teile;2589;2391;198;202;176;26
Datenverarbeitungsgeräte;2314;1728;586;280;190;90
chemische Erzeugnisse;2008;1223;785;438;258;180
Rest;10376;7093;3283;2069;1479;590
Energieversorgung;5700;4405;1295;327;216;111
Wasserversorgung und Abfallentsorgung;1738;1182;556;398;309;89
Abfallbehandlung;1133;862;271;277;233;44
Beseitigung v. Umweltverschmutzungen;398;155;243;62;21;41
Abwasserentsorgung;207;165;42;59;55;4
Bau;49754;44034;5720;20474;19198;1276
Sonst. Bautätigkeiten;30207;26351;3856;12931;12032;899
Hochbau;15513;13867;1646;6499;6143;356
Tiefbau;4034;3816;218;1044;1023;21
Handel;130687;62651;68036;29855;13959;15896
Einzelhandel;69973;23594;46379;19251;6927;12324
Großhandel;46449;27269;19180;8267;4988;3279
Kfz-Handel und -reparatur;14265;11788;2477;2337;2044;293
Verkehr;41438;33622;7816;9092;7833;1259
Landverkehr;22884;19983;2901;6673;6016;657
Dienstleistungen für den Verkehr;10725;8140;2585;1515;1143;372
Post- und Kurierdienste;7420;5263;2157;783;597;186
Luftfahrt;276;130;146;85;46;39
Schifffahrt;133;106;27;36;31;5
Beherbergung und Gastronomie;60202;31848;28354;29879;15838;14041
Information und Kommunikation;53254;34586;18668;6633;4087;2546
IT-Dienstleistungen;21264;15351;5913;3489;2333;1156
Informationsdienstleistungen;10467;6920;3547;1195;687;508
Telekommunikation;7659;5139;2520;487;307;180
Rest;13864;7176;6688;1462;760;702
Finanz- und Versicherungsleistungen;43247;21225;22022;4836;2469;2367
Grundstücks- und Wohnungswesen;20623;10775;9848;3724;2159;1565
Freiberufliche/techn. Dienstleistungen;73319;32272;41047;13923;6421;7502
Rechtsberatung und Wirtschaftsprüfung;18709;5025;13684;2323;480;1843
Unternehmensführung, -beratung;17891;8841;9050;3826;1913;1913
Architektur- und Ingenieurbüros;13479;8148;5331;2882;1657;1225
Werbung und Marktforschung;13042;5350;7692;2264;1053;1211
Rest;10198;4908;5290;2628;1318;1310
Sonst. wirtschaftl. Dienstleistungen;81709;41934;39775;32318;15813;16505
Öffentliche Verwaltung;87705;43285;44420;2889;943;1946
Erziehung und Unterricht;100919;34921;65998;15525;5829;9696
Gesundheits- und Sozialwesen;67397;17350;50047;13064;2780;10284
Kunst, Unterhaltung und Erholung;20665;10820;9845;4289;2119;2170
Sonst. Dienstleistungen;27400;9870;17530;5638;2017;3621
Quelle: Statistik Austria – Arbeitsstättenzählung 2015.;;;;;;
