Unselbstständig Beschäftigte in Unternehmen in Wien nach Geschlecht und Wirtschaftstätigkeiten 2015;;;;;;
Abschnitt und ausgewählte Abteilung
(ÖNACE 2008);Insgesamt;Unselbstständig Beschäftigte;;;;
;;Geschlecht;;darunter fremde Staatsangehörigkeit;;
;;Männer;Frauen;insgesamt;Männer;Frauen
Insgesamt;1070944;570940;500004;205680;110268;95412
Land- und Forstwirtschaft;1053;578;475;708;434;274
Bergbau;37;30;7;11;8;3
Herstellung von Waren;69194;50036;19158;11101;7363;3738
Elektrische Ausrüstungen;14295;11401;2894;1174;817;357
Nahrungs- und Futtermittel;10122;5395;4727;3360;1944;1416
Reparatur/Installation v. Maschinen;8809;7687;1122;504;405;99
Pharmazeutische Erzeugnisse;5359;2830;2529;751;359;392
Maschinenbau;4750;3908;842;771;633;138
Metallerzeugnisse;3242;2475;767;761;633;128
Kraftwagen und -teile;2915;2640;275;299;252;47
Sonstige Waren;2685;1342;1343;500;234;266
Papier/Pappe und Waren daraus;2596;1877;719;536;379;157
Datenverarbeitungsgeräte;2381;1791;590;277;187;90
Rest;12040;8690;3350;2168;1520;648
Energieversorgung;2612;2099;513;136;97;39
Wasserversorgung und Abfallentsorgung;862;662;200;263;231;32
Abfallbehandlung;752;566;186;204;175;29
Abwasserentsorgung;110;96;14;59;56;3
Bau;49804;44042;5762;20014;18747;1267
Sonst. Bautätigkeiten;31915;27846;4069;12872;11952;920
Hochbau;13914;12434;1480;6124;5801;323
Tiefbau;3975;3762;213;1018;994;24
Handel;126053;55697;70356;25657;11832;13825
Einzelhandel;64810;16705;48105;15186;4945;10241
Großhandel;50324;30124;20200;8389;5074;3315
Kfz-Handel und -reparatur;10919;8868;2051;2082;1813;269
Verkehr;73982;60482;13500;10049;8481;1568
Landverkehr;28263;25271;2992;6273;5638;635
Dienstleistungen für den Verkehr;24815;21261;3554;2132;1679;453
Post- und Kurierdienste;20429;13668;6761;1501;1070;431
Luftfahrt;327;168;159;105;61;44
Schifffahrt;148;114;34;38;33;5
Beherbergung und Gastronomie;61719;32320;29399;30249;15917;14332
Information und Kommunikation;62462;41237;21225;6869;4198;2671
IT-Dienstleistungen;20397;14938;5459;3413;2271;1142
Telekommunikation;14738;10640;4098;669;435;234
Informationsdienstleistungen;10970;7282;3688;1231;704;527
Rest;16357;8377;7980;1556;788;768
Finanz- und Versicherungsleistungen;59044;30871;28173;5347;2786;2561
Grundstücks- und Wohnungswesen;17729;9358;8371;2998;1677;1321
Freiberufliche/techn. Dienstleistungen;75879;33797;42082;14094;6574;7520
Rechtsberatung und Wirtschaftsprüfung;19064;5150;13914;2325;474;1851
Unternehmensführung, -beratung;18416;9140;9276;3917;1987;1930
Architektur- und Ingenieurbüros;14216;8600;5616;2817;1623;1194
Werbung und Marktforschung;13181;5459;7722;2298;1088;1210
Rest;11002;5448;5554;2737;1402;1335
Sonst. wirtschaftl. Dienstleistungen;84718;43629;41089;32618;16188;16430
Öffentliche Verwaltung;210535;102447;108088;10023;3544;6479
Erziehung und Unterricht;67284;28166;39118;13254;5420;7834
Gesundheits- und Sozialwesen;57998;14308;43690;11998;2607;9391
Kunst, Unterhaltung und Erholung;18449;9785;8664;3817;1828;1989
Sonst. Dienstleistungen;31530;11396;20134;6474;2336;4138
Quelle: Statistik Austria – Arbeitsstättenzählung 2015.;;;;;;
;;;;;;
;;;;;;
Anmerkung: Achtung neue Tabelle!;;;;;;
